AS2.A1ModJulian,AS2.Hellas_Planitia_GS.X,AS2.Hellas_Planitia_GS.Y,AS2.Hellas_Planitia_GS.Z,AS2.Valles_Marineris_GS.X,AS2.Valles_Marineris_GS.Y,AS2.Valles_Marineris_GS.Z,AS2.Schiaparelli_Crater_GS.X,AS2.Schiaparelli_Crater_GS.Y,AS2.Schiaparelli_Crater_GS.Z,AS2.Mawrth_Vallis_GS.X,AS2.Mawrth_Vallis_GS.Y,AS2.Mawrth_Vallis_GS.Z,AS2.Arcadia_Planitia_GS.X,AS2.Arcadia_Planitia_GS.Y,AS2.Arcadia_Planitia_GS.Z
21545.62833,1839.109611,-20045.88475,-5362.286337,-4451.396361,8513.131419,14396.88251,-695.0317032,-13999.21216,11181.69583,8210.50437,-2865.481737,14854.30052,-12762.65156,10538.50451,-15042.3533
21545.63673,1825.086439,-20050.77456,-5347.39415,-4449.902759,8533.010007,14390.1782,-695.9779188,-13985.594,11197.69543,8212.427482,-2845.074049,14859.00847,-12772.16888,10521.76257,-15050.80699
21545.64515,1811.25851,-20056.15426,-5332.710205,-4448.545072,8552.911069,14384.0239,-696.9330393,-13972.49552,11213.92161,8214.55256,-2824.956414,14864.15976,-12781.93073,10505.4795,-15059.48679
21545.65357,1797.663939,-20062.01197,-5318.274963,-4447.327632,8572.781339,14378.43896,-697.8945345,-13959.95455,11230.332,8216.874962,-2805.1843,14869.74288,-12791.91217,10489.70135,-15068.37061
21545.66201,1784.337665,-20068.33584,-5304.125505,-4446.254217,8592.571486,14373.44037,-698.8600478,-13948.00521,11246.88703,8219.390051,-2785.80854,14875.74641,-12802.08972,10474.46997,-15077.43761
21545.67047,1771.317923,-20075.11117,-5290.302416,-4445.328603,8612.226589,14369.04528,-699.8269333,-13936.68382,11263.54199,8222.092034,-2766.88475,14882.15625,-12812.43651,10459.83043,-15086.66391
21545.67894,1758.641896,-20082.32208,-5276.845165,-4444.554137,8631.692381,14365.26908,-700.7925553,-13926.02474,11280.25211,8224.974625,-2748.467,14888.95726,-12822.92532,10445.82594,-15096.0253
21545.68742,1746.346083,-20089.95132,-5263.792487,-4443.933758,8650.914705,14362.12551,-701.7542621,-13916.06073,11296.97211,8228.03097,-2730.608346,14896.13305,-12833.52831,10432.49823,-15105.49701
21545.69591,1734.467266,-20097.97944,-5251.183419,-4443.470011,8669.837885,14359.62674,-702.7093004,-13906.82359,11313.6547,8231.253327,-2713.362235,14903.66523,-12844.21606,10419.88853,-15115.0528
21545.70441,1723.038178,-20106.3878,-5239.052699,-4443.164878,8688.41164,14357.78248,-703.6551666,-13898.34082,11330.25671,8234.634243,-2696.776219,14911.5362,-12854.96145,10408.03298,-15124.66848
21545.71292,1712.093162,-20115.15469,-5227.436771,-4443.020006,8706.58209,14356.60121,-704.5891533,-13890.64002,11346.73114,8238.165034,-2680.900162,14919.72558,-12865.7346,10396.96863,-15134.31737
21545.72144,1701.664655,-20124.25753,-5216.370058,-4443.036514,8724.297201,14356.08919,-705.5086191,-13883.746,11363.0319,8241.83663,-2665.781148,14928.21218,-12876.50588,10386.72965,-15143.97296
21545.72997,1691.782896,-20133.67333,-5205.884646,-4443.215051,8741.50744,14356.2507,-706.4110274,-13877.68077,11379.11447,8245.639786,-2651.463045,14936.9745,-12887.24635,10377.3471,-15153.60937
21545.73851,1682.479386,-20143.37515,-5196.013957,-4443.555678,8758.159601,14357.08774,-707.2936189,-13872.46548,11394.93006,8249.563646,-2637.991523,14945.98741,-12897.92385,10368.85213,-15163.19778
