RGT_3.A1ModJulian,RGT_3.Hellas_Planitia_GS.X,RGT_3.Hellas_Planitia_GS.Y,RGT_3.Hellas_Planitia_GS.Z,RGT_3.Valles_Marineris_GS.X,RGT_3.Valles_Marineris_GS.Y,RGT_3.Valles_Marineris_GS.Z,RGT_3.Schiaparelli_Crater_GS.X,RGT_3.Schiaparelli_Crater_GS.Y,RGT_3.Schiaparelli_Crater_GS.Z,RGT_3.Mawrth_Vallis_GS.X,RGT_3.Mawrth_Vallis_GS.Y,RGT_3.Mawrth_Vallis_GS.Z,RGT_3.Arcadia_Planitia_GS.X,RGT_3.Arcadia_Planitia_GS.Y,RGT_3.Arcadia_Planitia_GS.Z
21545,-8566.07411,-1611.301784,5887.06463,1332.363201,11532.1137,-8670.05196,-416.4069527,9253.973791,5362.649009,694.6925684,12631.24386,-1819.441212,694.6925684,12631.24386,-1819.441212
21545.00069,-8570.839173,-1555.441158,5892.187458,1344.715642,11508.00047,-8719.401001,-414.4722664,9292.611165,5321.749509,671.7460835,12638.76626,-1870.296212,671.7460835,12638.76626,-1870.296212
21545.00266,-8583.426133,-1397.514371,5905.714263,1379.467778,11438.72989,-8858.239584,-408.9658341,9400.793903,5205.351698,606.867763,12658.73066,-2014.082519,606.867763,12658.73066,-2014.082519
21545.0066,-8604.832839,-1079.35562,5928.694663,1448.719437,11294.27083,-9134.911094,-397.7082957,9614.043623,4967.424899,476.1418911,12693.13319,-2303.804022,476.1418911,12693.13319,-2303.804022
21545.01405,-8631.001787,-477.033513,5956.681908,1577.062563,11002.95814,-9647.673203,-375.7984856,10000.69735,4504.522235,228.5780009,12737.12235,-2852.472496,228.5780009,12737.12235,-2852.472496
21545.02224,-8638.218789,186.8385963,5964.156196,1714.363921,10655.02066,-10196.23676,-350.7483392,10401.1663,3975.531462,-44.40362656,12753.76501,-3457.483389,-44.40362656,12753.76501,-3457.483389
21545.03053,-8622.525155,857.3130368,5946.868474,1848.615024,10275.08389,-10732.61892,-324.4895066,10778.31176,3421.317692,-320.2258132,12736.73631,-4068.804316,-320.2258132,12736.73631,-4068.804316
21545.03884,-8583.716192,1526.138241,5904.60406,1978.089074,9867.331253,-11249.91364,-297.326912,11127.02099,2848.357274,-595.4946298,12685.66193,-4678.917467,-595.4946298,12685.66193,-4678.917467
21545.04714,-8521.918334,2190.730912,5837.503258,2102.2833,9433.310019,-11746.10541,-269.3629002,11445.92065,2258.843977,-869.1454918,12600.70637,-5285.467274,-869.1454918,12600.70637,-5285.467274
21545.05546,-8437.303565,2849.396903,5745.755045,2220.885631,8974.145953,-12219.94096,-240.6678422,11734.21638,1654.294185,-1140.47931,12482.10916,-5886.907998,-1140.47931,12482.10916,-5886.907998
21545.06378,-8330.150476,3500.149996,5629.663584,2333.544562,8491.254116,-12670.00989,-211.3278173,11991.06793,1036.552295,-1408.67639,12330.26403,-6481.426275,-1408.67639,12330.26403,-6481.426275
