RGT_2.A1ModJulian,RGT_2.Hellas_Planitia_GS.X,RGT_2.Hellas_Planitia_GS.Y,RGT_2.Hellas_Planitia_GS.Z,RGT_2.Valles_Marineris_GS.X,RGT_2.Valles_Marineris_GS.Y,RGT_2.Valles_Marineris_GS.Z,RGT_2.Schiaparelli_Crater_GS.X,RGT_2.Schiaparelli_Crater_GS.Y,RGT_2.Schiaparelli_Crater_GS.Z,RGT_2.Mawrth_Vallis_GS.X,RGT_2.Mawrth_Vallis_GS.Y,RGT_2.Mawrth_Vallis_GS.Z,RGT_2.Arcadia_Planitia_GS.X,RGT_2.Arcadia_Planitia_GS.Y,RGT_2.Arcadia_Planitia_GS.Z
21545,5263.501304,-10146.96238,-9063.292382,-3079.364437,-1058.11433,8926.841231,-171.106589,-12221.71763,228.222228,4123.565256,-7814.193589,5786.789945,4123.565256,-7814.193589,5786.789945
21545.00069,5337.104981,-10047.40318,-9171.122591,-3094.433403,-1220.521112,8908.030276,-182.8022467,-12267.12644,70.87503076,4064.655622,-7942.38746,5702.808549,4064.655622,-7942.38746,5702.808549
21545.00266,5540.200754,-9757.30337,-9470.481503,-3134.232424,-1678.046431,8843.935261,-215.6795047,-12384.41637,-376.54391,3894.650349,-8297.3068,5457.54946,3894.650349,-8297.3068,5457.54946
21545.0066,5926.164668,-9135.491119,-10047.9513,-3201.870577,-2590.715827,8666.313079,-281.0780942,-12570.74854,-1287.638488,3537.269501,-8977.421086,4929.521552,3537.269501,-8977.421086,4929.521552
21545.01405,6566.40473,-7831.705509,-11040.56493,-3284.402659,-4272.460625,8156.441561,-401.8948525,-12739.56184,-3034.622019,2810.952366,-10128.50735,3814.842268,2810.952366,-10128.50735,3814.842268
21545.02224,7123.579799,-6226.416478,-11967.90476,-3307.618014,-6028.218492,7341.498959,-530.6747277,-12646.12149,-4963.881134,1945.954834,-11172.43484,2433.049678,1945.954834,-11172.43484,2433.049678
21545.03053,7515.177083,-4458.449957,-12710.47794,-3261.254036,-7662.161709,6265.13985,-656.2680645,-12256.41921,-6877.732598,1018.637454,-11966.76915,903.479655,1018.637454,-11966.76915,903.479655
21545.03884,7722.960207,-2583.422981,-13242.01362,-3148.261236,-9117.698229,4957.441022,-777.2619907,-11577.74742,-8712.451987,56.03765873,-12480.36717,-724.7245303,56.03765873,-12480.36717,-724.7245303
21545.04714,7739.228287,-647.2448472,-13550.59511,-2973.863546,-10358.37275,3449.268243,-893.3821904,-10625.94137,-10422.67253,-920.7004685,-12699.68491,-2410.593836,-920.7004685,-12699.68491,-2410.593836
21545.05546,7561.32371,1304.929544,-13630.33205,-2744.533968,-11354.75466,1774.865693,-1004.493643,-9422.724168,-11968.28421,-1891.128798,-12619.01941,-4113.754078,-1891.128798,-12619.01941,-4113.754078
21545.06378,7191.322205,3226.540252,-13480.51489,-2467.992651,-12082.57682,-26.72633214,-1110.360973,-7996.311492,-13312.18637,-2834.288505,-12239.69804,-5792.592685,-2834.288505,-12239.69804,-5792.592685
