RGT_2.A1ModJulian         RGT_2.Hellas_Planitia_GS.X   RGT_2.Hellas_Planitia_GS.Y   RGT_2.Hellas_Planitia_GS.Z   RGT_2.Valles_Marineris_GS.X   RGT_2.Valles_Marineris_GS.Y   RGT_2.Valles_Marineris_GS.Z   RGT_2.Schiaparelli_Crater_GS.X   RGT_2.Schiaparelli_Crater_GS.Y   RGT_2.Schiaparelli_Crater_GS.Z   RGT_2.Mawrth_Vallis_GS.X   RGT_2.Mawrth_Vallis_GS.Y   RGT_2.Mawrth_Vallis_GS.Z   RGT_2.Arcadia_Planitia_GS.X   RGT_2.Arcadia_Planitia_GS.Y   RGT_2.Arcadia_Planitia_GS.Z   
21545.00000039794         5263.501304202873            -10146.96237547402           -9063.292381629552           -3079.364436929979            -1058.114329776396            8926.841230977014             -171.1065889551055               -12221.7176293084                228.2222279819791                4123.565255801139          -7814.193588562159         5786.789944744665          4123.565255801139             -7814.193588562159            5786.789944744665             
21545.00069484238         5337.10498091722             -10047.40318067024           -9171.122591280524           -3094.433403406259            -1220.521111768705            8908.030276221969             -182.802246726982                -12267.12643594848               70.8750307610353                 4064.655621529118          -7942.387460099377         5702.808548598534          4064.655621529118             -7942.387460099377            5702.808548598534             
21545.00265623659         5540.20075411151             -9757.303370477843           -9470.481503067704           -3134.23242428774             -1678.046431241117            8843.935260661548             -215.6795046516072               -12384.41636912544               -376.5439099721816               3894.650348985758          -8297.306799816128         5457.549459778784          3894.650348985758             -8297.306799816128            5457.549459778784             
21545.0066001969          5926.16466795024             -9135.491119376129           -10047.95129987988           -3201.870576735929            -2590.715826752256            8666.313078895429             -281.0780942288038               -12570.74854206                  -1287.63848818359                3537.269500730509          -8977.421086474304         4929.521552357359          3537.269500730509             -8977.421086474304            4929.521552357359             
21545.01404749798         6566.404729887425            -7831.70550874581            -11040.56493110927           -3284.402659123389            -4272.46062506972             8156.441560720959             -401.8948525021351               -12739.56183986846               -3034.622019225054               2810.95236615666           -10128.50735100293         3814.842267585106          2810.95236615666              -10128.50735100293            3814.842267585106             
21545.02224437489         7123.579798809667            -6226.416478185878           -11967.90475892152           -3307.618013594571            -6028.218492279604            7341.498958857652             -530.674727680489                -12646.12149099318               -4963.88113355707                1945.954833503179          -11172.4348353577          2433.049677773592          1945.954833503179             -11172.4348353577             2433.049677773592             
21545.03053332426         7515.177083242921            -4458.44995668517            -12710.47793972817           -3261.254036199492            -7662.161708552741            6265.139850210809             -656.2680644847424               -12256.41920915883               -6877.732598123095               1018.637453766618          -11966.76915155585         903.4796549996336          1018.637453766618             -11966.76915155585            903.4796549996336             
21545.03883616529         7722.960207073377            -2583.422981066222           -13242.01361560217           -3148.261235960068            -9117.698229033205            4957.441022036766             -777.2619906865511               -11577.74742204373               -8712.451986962042               56.03765872567419          -12480.36717138001         -724.7245303464215         56.03765872567419             -12480.36717138001            -724.7245303464215            
21545.04714456566         7739.228286551031            -647.2448472341241           -13550.59510921269           -2973.863545774826            -10358.37275105606            3449.268243270063             -893.3821903909266               -10625.94136951451               -10422.6725260056                -920.7004685287257         -12699.68490777199         -2410.593835998606         -920.7004685287257            -12699.68490777199            -2410.593835998606            
21545.05546095964         7561.323709577511            1304.929544298947            -13630.33205492696           -2744.533967543754            -11354.75466460119            1774.86569283828              -1004.493642957334               -9422.724167862965               -11968.28421225855               -1891.128797505854         -12619.01941490543         -4113.754078207188         -1891.128797505854            -12619.01941490543            -4113.754078207188            
