MSC.A1ModJulian,MSC.Hellas_Planitia_GS.X,MSC.Hellas_Planitia_GS.Y,MSC.Hellas_Planitia_GS.Z,MSC.Valles_Marineris_GS.X,MSC.Valles_Marineris_GS.Y,MSC.Valles_Marineris_GS.Z,MSC.Schiaparelli_Crater_GS.X,MSC.Schiaparelli_Crater_GS.Y,MSC.Schiaparelli_Crater_GS.Z,MSC.Mawrth_Vallis_GS.X,MSC.Mawrth_Vallis_GS.Y,MSC.Mawrth_Vallis_GS.Z,MSC.Arcadia_Planitia_GS.X,MSC.Arcadia_Planitia_GS.Y,MSC.Arcadia_Planitia_GS.Z
30988.90697,-3737.511735,-4010.631712,-9435.301326,-7712.05618,569.4817487,-804.5655855,-6951.701769,-3885.646729,-1600.611106,-4629.599539,-1917.534215,3062.327666,-6798.992763,3338.436461,-297.4799314
30988.9112,-3410.580221,-4665.091016,-9148.50227,-7426.08653,911.4496572,-157.4688355,-6542.327835,-4281.429097,-1059.10931,-3964.354898,-1935.169562,3480.171484,-6944.230966,3613.034067,-1019.253382
30988.91542,-3025.08309,-5272.173703,-8826.713549,-7067.491895,1216.083961,474.4435289,-6064.056391,-4660.595642,-560.9180176,-3257.779703,-1966.441671,3827.272273,-7008.242118,3881.399182,-1757.215539
30988.91964,-2586.958959,-5825.336255,-8471.463689,-6639.785284,1482.323589,1082.98896,-5522.108752,-5016.933005,-109.8520951,-2517.472301,-2008.378433,4099.908082,-6991.115716,4138.228137,-2504.135615
30988.92385,-2102.833643,-6318.798627,-8084.34867,-6147.115542,1709.869479,1660.258278,-4922.297032,-5344.342135,291.1087931,-1751.217323,-2057.597829,4295.282675,-6893.95236,4378.14371,-3252.961544
30988.92805,-1579.99832,-6747.507748,-7667.102638,-5594.299611,1899.108698,2198.612808,-4271.05281,-5636.870581,639.7498808,-967.0301072,-2110.374308,4411.504833,-6718.840808,4595.741445,-3996.755673
30988.93225,-1026.265755,-7107.248445,-7221.575598,-4986.738825,2051.105494,2690.846829,-3575.308554,-5888.843577,934.6685246,-173.0013991,-2162.721096,4447.639171,-6468.827256,4785.708771,-4728.830195
30988.93645,-449.8864962,-7394.667582,-6749.7651,-4330.395539,2167.546666,3130.258824,-2842.456338,-6094.942992,1175.248278,622.7487258,-2210.470578,4403.711017,-6147.880766,4942.908088,-5442.769745
30988.94064,140.5774196,-7607.319554,-6253.817744,-3631.724875,2250.692739,3510.756275,-2080.255561,-6250.304298,1361.648696,1412.172808,-2249.361597,4280.709461,-5760.836264,5062.47461,-6132.503518
30988.94483,736.3433182,-7743.680776,-5736.062301,-2897.646046,2303.313215,3826.923077,-1296.786922,-6350.594524,1494.76838,2187.341928,-2275.125584,4080.581647,-5313.348873,5139.900896,-6792.323412
30988.94902,1328.536354,-7803.171803,-5199.014165,-2135.470191,2328.622127,4074.107015,-500.3595536,-6392.098361,1576.213777,2940.537653,-2283.577276,3806.214663,-4811.820317,5171.128592,-7416.940425
30988.9532,1908.362718,-7786.154326,-4645.333357,-1352.760093,2330.203224,4248.500381,300.6470371,-6371.78642,1608.252981,3664.392391,-2270.701468,3461.368066,-4263.266005,5152.626625,-8001.574061
30988.95738,2467.089258,-7693.916368,-4077.962227,-557.4437585,2311.928445,4347.146963,1097.677651,-6287.37689,1593.747163,4351.784079,-2232.740112,3050.704226,-3675.352237,5081.46505,-8541.839383
30988.96156,2996.240046,-7528.678738,-3500.07032,242.3483838,2277.882931,4368.039993,1882.185299,-6137.414412,1536.109571,4996.004155,-2166.28539,2579.718716,-3056.250239,4955.402762,-9033.859811
30988.96573,3487.920181,-7293.453439,-2914.807287,1038.700814,2232.256495,4310.124978,2646.042765,-5921.217503,1439.188044,5591.068884,-2068.316862,2054.444264,-2414.255495,4772.865568,-9474.468523
30988.96991,3934.483028,-6992.146405,-2325.789123,1823.317519,2179.288342,4173.312319,3380.968538,-5639.044942,1307.243141,6131.237368,-1936.333419,1481.779369,-1758.205705,4533.107498,-9860.812208
30988.97408,4328.951692,-6629.41776,-1736.75725,2588.07062,2123.161691,3958.513254,4079.073488,-5292.042234,1144.840115,6611.447089,-1768.387894,869.1383083,-1097.010761,4236.187283,-10190.65425
30988.97825,4665.069461,-6210.597135,-1151.599423,3325.033407,2067.916427,3667.601988,4732.888335,-4882.231618,956.7524796,7027.299732,-1563.135868,224.3641321,-439.5653797,3882.979577,-10462.32582
30988.98242,4937.35236,-5741.620013,-574.3736427,4026.508111,2017.370005,3303.396801,5335.389915,-4412.517446,747.8803604,7375.055191,-1319.888312,-444.3390059,205.3248146,3475.197978,-10674.68854
30988.98659,5141.154406,-5228.983456,-9.330224283,4685.059003,1975.042625,2869.663366,5880.037471,-3886.708857,523.1806837,7651.643145,-1038.671671,-1128.460254,829.0134227,3015.432525,-10827.115
30988.99075,5272.803398,-4679.433606,539.3434485,5293.853739,1944.069581,2370.8759,6361.054701,-3309.258421,287.4844523,7854.783891,-720.1297659,-1819.578324,1423.380166,2506.936524,-10919.52326
30988.99492,5329.516589,-4100.33794,1067.066203,5846.189803,1927.166814,1812.576115,6773.051638,-2685.706342,45.6150449,7982.801081,-365.8052975,-2508.871623,1980.411276,1954.031134,-10952.25633
30988.99909,5309.592445,-3499.027158,1569.463348,6336.20198,1926.539118,1200.806394,7111.589007,-2022.041258,-197.9329486,8034.852398,22.17678056,-3187.940903,2492.921469,1361.555754,-10926.16524
30989.00326,5212.322756,-2882.925596,2042.136114,6758.606838,1943.857806,542.2198251,7372.955457,-1324.865685,-438.9637977,8010.781182,440.998463,-3848.600456,2954.349347,735.0209019,-10842.49647
30989.00743,5038.132214,-2259.831094,2480.445118,7108.568945,1980.197079,-155.5694465,7554.119419,-601.7660669,-673.5068582,7911.18982,886.8923347,-4482.606846,3358.613897,80.95331383,-10702.96278
30989.0116,4788.603009,-1637.374242,2879.938147,7382.149899,2035.994248,-884.5085213,7653.04973,139.2465355,-898.0623167,7737.499959,1355.443979,-5082.27611,3700.599287,-593.5943195,-10509.71806
30989.01417,4598.323191,-1257.103616,3105.06633,7511.416468,2080.032031,-1345.86054,7672.571434,601.4655326,-1030.226451,7594.394512,1653.488377,-5431.826141,3878.597445,-1016.482779,-10364.88415
