MSC.A1ModJulian,D1.Hellas_Planitia_GS.X,D1.Hellas_Planitia_GS.Y,D1.Hellas_Planitia_GS.Z,D1.Valles_Marineris_GS.X,D1.Valles_Marineris_GS.Y,D1.Valles_Marineris_GS.Z,D1.Schiaparelli_Crater_GS.X,D1.Schiaparelli_Crater_GS.Y,D1.Schiaparelli_Crater_GS.Z,D1.Mawrth_Vallis_GS.X,D1.Mawrth_Vallis_GS.Y,D1.Mawrth_Vallis_GS.Z,D1.Arcadia_Planitia_GS.X,D1.Arcadia_Planitia_GS.Y,D1.Arcadia_Planitia_GS.Z
30988.50043,3191.754822,6101.579044,816.9408275,6417.341112,-2484.861613,-7617.137007,5393.007892,4362.864937,-7512.481303,2209.724379,998.3141111,-11083.39563,7318.985785,-3323.113716,-3716.023704
30988.50112,3300.327837,6043.655694,816.1189337,6472.516907,-2516.429043,-7511.766145,5471.926068,4268.673395,-7505.865809,2305.391728,923.4412055,-11063.75648,7355.406041,-3231.729702,-3789.958923
30988.50243,3503.086339,5931.766623,810.2403837,6571.516631,-2576.072304,-7311.001438,5616.305049,4088.003067,-7492.536393,2482.875689,780.3936307,-11022.50643,7419.869089,-3056.653524,-3927.281822
30988.50474,3855.465983,5725.478338,785.8951212,6730.482637,-2682.117482,-6949.334199,5857.478659,3758.652755,-7466.409305,2787.406136,521.3044772,-10936.17579,7520.52607,-2738.118813,-4163.338538
30988.50865,4430.364005,5354.80896,703.9817801,6950.994768,-2862.920815,-6322.199546,6221.886355,3176.182391,-7415.925404,3272.018287,67.31273123,-10752.72041,7651.600324,-2176.330242,-4539.937077
30988.51278,5008.750213,4934.781621,560.765142,7117.299148,-3057.156131,-5639.498972,6546.705263,2526.334706,-7355.466818,3741.114691,-434.5126507,-10508.62119,7737.092597,-1551.281269,-4905.27176
30988.51695,5553.582681,4488.877472,358.2612865,7212.643978,-3254.977388,-4940.60209,6806.295411,1844.469969,-7289.48065,4161.607381,-957.3181021,-10214.44251,7767.504886,-896.8161709,-5233.038852
30988.52112,6056.266223,4024.717166,98.13515918,7234.491026,-3454.525811,-4236.681449,6995.578188,1140.785166,-7220.19238,4525.670523,-1493.973309,-9874.942361,7742.386884,-222.468759,-5516.633262
30988.52529,6511.605518,3547.984542,-217.4392691,7182.408132,-3654.53396,-3535.625673,7112.293153,422.7719046,-7149.272272,4828.857131,-2039.301147,-9494.297489,7662.473761,464.7792144,-5752.215953
30988.52946,6915.457876,3063.671504,-585.7712378,7056.867316,-3853.645516,-2844.309265,7155.285044,-302.7575455,-7077.97712,5068.027647,-2588.466422,-9076.518541,7528.891431,1158.532126,-5937.113068
