MSC.A1ModJulian	D2.Hellas_Planitia_GS.X	D2.Hellas_Planitia_GS.Y	D2.Hellas_Planitia_GS.Z	D2.Valles_Marineris_GS.X	D2.Valles_Marineris_GS.Y	D2.Valles_Marineris_GS.Z	D2.Schiaparelli_Crater_GS.X	D2.Schiaparelli_Crater_GS.Y	D2.Schiaparelli_Crater_GS.Z	D2.Mawrth_Vallis_GS.X	D2.Mawrth_Vallis_GS.Y	D2.Mawrth_Vallis_GS.Z	D2.Arcadia_Planitia_GS.X	D2.Arcadia_Planitia_GS.Y	D2.Arcadia_Planitia_GS.Z
30988.50043	7686.616713	-2423.21763	-4040.61422	3805.207209	-3486.164565	2806.198912	5252.326081	-6012.495241	-4545.345882	5688.349913	-5699.8487	-3369.410783	3533.90702	6172.348433	-7177.40495
30988.50112	7652.443395	-2508.616701	-4122.438723	3704.647113	-3471.367731	2875.659599	5169.518678	-6092.677591	-4502.104799	5649.777936	-5737.512535	-3258.732399	3432.799958	6240.536939	-7160.55989
30988.50243	7583.509888	-2666.743593	-4277.611224	3512.156246	-3442.998216	3002.059299	5009.524355	-6240.215683	-4421.676103	5572.30707	-5806.100085	-3051.058473	3240.763881	6365.742569	-7124.780813
30988.50474	7447.174087	-2937.26583	-4554.720986	3162.58738	-3391.130968	3211.03525	4714.304073	-6489.433748	-4282.770046	5420.261695	-5919.48751	-2686.936175	2896.603597	6576.327643	-7048.838879
30988.50865	7175.810513	-3366.432573	-5027.700888	2548.513476	-3297.960136	3520.493982	4182.578461	-6874.386343	-4057.799729	5121.589731	-6086.462002	-2083.241843	2304.206855	6898.597318	-6885.313267
30988.51278	6832.89631	-3781.966066	-5531.270278	1869.554149	-3190.07539	3787.356265	3577.428505	-7230.20001	-3831.90035	4750.595803	-6227.177727	-1461.628654	1663.781098	7191.456124	-6666.386486
30988.51695	6432.594127	-4157.149315	-6033.686406	1163.969637	-3070.290178	3990.403731	2931.412647	-7530.052504	-3617.009058	4325.482259	-6327.698808	-859.4656694	1010.85063	7431.601567	-6402.875111
30988.52112	5979.546148	-4487.758676	-6525.013507	443.0171951	-2937.381022	4126.492211	2254.719947	-7768.107358	-3413.602528	3853.786949	-6383.844212	-284.7408922	353.8855642	7613.539983	-6100.794566
30988.52529	5477.570978	-4772.535399	-6997.906071	-285.1219509	-2789.663424	4195.027791	1555.102301	-7941.3623	-3220.672217	3342.106265	-6392.802997	258.2202927	-301.841123	7734.20225	-5765.880608
30988.52946	4930.418964	-5011.305073	-7445.853856	-1013.161803	-2625.348313	4196.448914	839.6692289	-8047.912868	-3036.699397	2796.917253	-6352.341225	766.3298164	-952.0364017	7791.475437	-5403.928424
30988.53363	4342.169048	-5204.451248	-7862.643243	-1733.949808	-2442.718663	4131.889923	115.5609394	-8086.53991	-2859.973797	2224.960823	-6260.671079	1236.988108	-1592.62588	7783.87516	-5020.98697
30988.5378	3717.338896	-5352.826726	-8242.320807	-2440.35253	-2240.217668	4003.159212	-609.9414412	-8056.695958	-2688.688397	1633.301365	-6116.498063	1667.959431	-2219.608357	7710.553748	-4623.369066
30988.54197	3061.142446	-5457.710858	-8579.161586	-3125.062409	-2016.599551	3812.834511	-1329.199579	-7958.602338	-2521.05324	1029.500612	-5919.172189	2057.245088	-2828.839728	7571.421708	-4217.739204
30988.54614	2378.715575	-5520.920908	-8868.167596	-3781.479438	-1770.734892	3564.05012	-2035.132641	-7793.185943	-2355.154636	420.8372093	-5668.529175	2403.559051	-3416.767721	7367.046402	-3810.556409
30988.55031	1675.640257	-5544.624626	-9104.783017	-4403.131082	-1501.835198	3260.560724	-2720.628417	-7562.087043	-2189.165282	-185.2437814	-5365.035528	2705.918216	-3979.871482	7098.710779	-3408.345303
30988.55448	957.6917898	-5531.327193	-9285.0639	-4983.955223	-1209.42021	2906.63303	-3378.844596	-7267.61359	-2021.341365	-781.4102833	-5009.741349	2963.754537	-4514.86973	6768.365036	-3017.47885
30988.55865	231.0570389	-5483.824676	-9405.670867	-5518.149064	-893.463395	2507.122302	-4003.037972	-6912.828999	-1850.136476	-1360.312316	-4604.422737	3176.803475	-5018.535334	6378.738535	-2644.232631
30988.56283	-498.2384948	-5405.122043	-9464.019201	-6000.622695	-554.2007846	2067.132887	-4587.09105	-6501.278685	-1674.128096	-1915.090939	-4151.302148	3345.2464	-5488.075545	5933.051556	-2294.424517
30988.56701	-1224.021106	-5298.367647	-9458.193367	-6426.728189	-192.2905578	1592.11085	-5125.220397	-6037.070367	-1492.143801	-2439.145663	-3653.19524	3469.532342	-5920.851331	5435.123787	-1973.54464
30988.57119	-1940.041502	-5166.800777	-9386.98528	-6792.32299	191.1766805	1087.770728	-5612.054426	-5524.825973	-1303.29479	-2926.228203	-3113.489162	3550.362956	-6314.401788	4889.333741	-1686.670272
30988.57538	-2639.834385	-5013.743157	-9249.965116	-7093.734077	594.5490678	560.1787326	-6042.573981	-4969.795504	-1107.067038	-3370.396418	-2536.289799	3588.6609	-6666.357401	4300.750129	-1438.46105
30988.57956	-3316.788559	-4842.573616	-9047.594675	-7327.882002	1015.569845	15.71935354	-6412.238657	-4377.870816	-903.3688464	-3766.141939	-1926.457142	3585.599225	-6974.498993	3675.154222	-1233.038846
30988.58375	-3965.347036	-4656.358804	-8780.820889	-7492.646481	1452.117916	-539.9340948	-6717.608222	-3754.469102	-692.2005787	-4109.089134	-1288.488522	3542.522917	-7237.248114	3017.872173	-1073.616408
30988.58795	-4579.294447	-4458.239801	-8451.567132	-7586.248923	1901.130577	-1100.48455	-6955.392052	-3105.990703	-474.1977878	-4395.000156	-628.0457884	3460.908685	-7452.851186	2335.32506	-963.0028708
30988.59214	-5153.088714	-4251.049828	-8062.291555	-7607.670804	2359.434219	-1660.128987	-7123.145907	-2438.601991	-250.2469632	-4620.545068	49.27673394	3342.30551	-7619.94445	1633.750598	-903.2020796
30988.59635	-5681.200616	-4037.486774	-7616.29699	-7556.51125	2823.266922	-2212.998261	-7218.985467	-1758.882733	-21.73214741	-4782.983431	737.2746862	3188.373356	-7737.284032	919.8912353	-895.5375564
30988.60055	-6158.556891	-3819.949799	-7117.492992	-7433.050148	3288.591755	-2753.578442	-7241.756941	-1073.345827	209.6061016	-4880.378827	1429.610761	3000.805576	-7803.887675	200.493096	-940.5603033
30988.60476	-6580.494248	-3600.532812	-6570.388465	-7238.212588	3751.071498	-3276.69327	-7190.99737	-388.4542706	441.6520735	-4911.566315	2119.788956	2781.306804	-7818.996495	-517.6730439	-1038.066355
30988.60898	-6942.758377	-3381.024684	-5980.113231	-6973.584558	4206.054838	-3777.498758	-7066.94807	289.3653808	671.9046778	-4876.165079	2801.138062	2531.598738	-7782.079599	-1227.796559	-1187.082149
30988.6132	-7241.559279	-3162.904859	-5352.432141	-6641.457185	4648.59696	-4251.513174	-6870.605375	953.747571	897.4875649	-4774.625901	3466.838918	2253.436997	-7692.873099	-1923.053646	-1385.83217
30988.61743	-7473.737207	-2947.257878	-4693.49179	-6244.721512	5073.665473	-4694.830399	-6603.675636	1598.679201	1115.258785	-4608.219384	4110.223819	1948.515144	-7551.377471	-2596.915045	-1631.804524
30988.62166	-7636.718927	-2734.824706	-4009.914159	-5786.922421	5476.084961	-5104.034284	-6268.605874	2218.389873	1321.792582	-4379.043938	4724.677599	1618.52357	-7357.884141	-3243.035251	-1921.732587
30988.62589	-7728.592447	-2526.006516	-3308.752257	-5272.272519	5850.60928	-5476.244985	-5868.610973	2807.416877	1513.430416	-4090.046449	5303.720891	1265.163824	-7113.019539	-3855.327211	-2251.601767
30988.63013	-7748.184235	-2320.828888	-2597.268179	-4705.525452	6192.083952	-5809.237629	-5407.584457	3360.800133	1686.383633	-3744.950447	5841.225823	890.0791818	-6817.72163	-4428.173815	-2616.755439
30988.63438	-7695.062086	-2118.968733	-1882.874383	-4091.938902	6495.498628	-6101.434583	-4890.063069	3874.102633	1836.783552	-3348.210424	6331.460809	494.8640596	-6473.246033	-4956.458257	-3011.951708
30988.63862	-7569.83479	-1920.139066	-1174.329584	-3438.442701	6755.625052	-6351.490182	-4322.25346	4342.638991	1960.544508	-2905.797205	6768.412562	81.83312417	-6081.921322	-5434.791716	-3430.655561
30988.64286	-7374.025089	-1723.459365	-479.2376259	-2751.543182	6968.154494	-6559.282052	-3710.267645	4763.259307	2053.974083	-2423.816556	7147.541723	-347.27398	-5646.036163	-5859.368414	-3866.449011
30988.64709	-7109.921607	-1527.782952	195.0860374	-2037.951866	7129.252393	-6725.376038	-3060.593982	5133.56139	2113.579543	-1908.814802	7465.043184	-790.8033769	-5168.164649	-6227.159527	-4312.678574
30988.65132	-6780.559658	-1331.778779	841.582407	-1304.614372	7235.571543	-6850.942128	-2380.106893	5451.81302	2136.111881	-1367.752291	7717.808851	-1247.109592	-4651.215788	-6535.84681	-4762.490225
30988.65554	-6389.672145	-1133.974993	1453.554706	-558.6089329	7284.312856	-6937.71568	-1675.96204	5716.961972	2118.632209	-807.8869817	7903.471526	-1714.55979	-4098.403344	-6783.845544	-5208.947962
30988.65976	-5941.649964	-932.8179948	2024.719756	192.9049382	7273.266233	-6987.93919	-955.5350244	5928.609866	2058.56881	-236.691826	8020.41518	-2191.506121	-3513.245801	-6970.290616	-5645.120418
30988.66397	-5441.524269	-726.7406545	2549.23854	942.7065736	7200.855972	-7004.303692	-226.3905771	6086.98027	1953.779854	338.2040912	8067.7847	-2676.237334	-2899.592733	-7095.018493	-6064.150732
30988.66818	-4894.86498	-514.197352	3021.833078	1683.658422	7066.17384	-6989.891472	503.8693175	6192.91162	1802.59895	909.1702951	8045.502439	-3167.009914	-2261.549686	-7158.56853	-6459.396343
30988.67238	-4307.767003	-293.7394768	3437.785363	2408.698348	6869.01108	-6948.106734	1227.612178	6247.804454	1603.890466	1468.614469	7954.257364	-3661.983211	-1603.519804	-7162.143223	-6824.479771
30988.67658	-3686.703958	-64.03868597	3793.038505	3111.00236	6609.849764	-6882.600689	1937.350695	6253.587433	1357.061884	2009.152422	7795.479764	-4159.270804	-930.0932856	-7107.575878	-7153.426094
30988.68077	-3038.540853	176.0304024	4084.16503	3783.935825	6289.894849	-6797.203761	2625.709166	6212.656671	1062.120332	2523.613902	7571.325801	-4656.852574	-246.1196587	-6997.283823	-7440.68725
30988.68496	-2370.435087	427.3519604	4308.421497	4421.148549	5911.071851	-6695.853462	3285.532423	6127.831251	719.6926444	3005.158279	7284.650021	-5152.585176	443.3485242	-6834.228153	-7681.239273
30988.68915	-1689.718898	690.5399137	4463.779762	5016.665686	5475.994479	-6582.514853	3909.993717	6002.290181	331.0203501	3447.384281	6938.948215	-5644.220249	1133.125562	-6621.849966	-7870.664098
30988.69333	-1003.824756	965.8981526	4548.924385	5564.924117	4987.941677	-6461.107706	4492.647612	5839.506474	-102.0367403	3844.394457	6538.304472	-6129.390375	1817.917153	-6364.006223	-8005.198932
30988.69752	-320.2300488	1253.377886	4563.249516	6060.795845	4450.846935	-6335.441489	5027.46792	5643.189811	-576.9878285	4190.847652	6087.350941	-6605.586372	2492.329436	-6064.91607	-8081.780148
30988.70169	353.6521079	1552.561558	4506.859712	6499.653359	3869.244898	-6209.144245	5508.929763	5417.217684	-1090.737702	4482.038897	5591.194125	-7070.17642	3150.934486	-5729.087055	-8098.092752
30988.70587	1010.493596	1862.613644	4380.570977	6877.373259	3248.286582	-6085.611546	5932.023963	5165.595607	-1639.554164	4713.934101	5055.401121	-7520.367881	3788.251798	-5361.283108	-8052.60889
30988.71004	1643.296901	2182.343022	4185.868558	7190.470284	2593.539068	-5967.917557	6292.416479	4892.334355	-2219.227737	4883.281892	4485.802441	-7953.328155	4398.95161	-4966.368746	-7944.607427
30988.71422	2245.458843	2510.206087	3924.832413	7436.081441	1910.901186	-5858.767459	6586.447468	4601.37274	-2825.132168	4987.608463	3888.394069	-8366.186807	4977.883622	-4549.220691	-7774.142511
30988.71839	2810.457158	2844.09055	3600.298556	7611.848045	1206.99907	-5760.522525	6810.99324	4296.717236	-3451.860478	5025.197845	3269.666669	-8755.786086	5519.751003	-4114.943709	-7542.178289
