MSC.A1ModJulian	D3.Hellas_Planitia_GS.X	D3.Hellas_Planitia_GS.Y	D3.Hellas_Planitia_GS.Z	D3.Valles_Marineris_GS.X	D3.Valles_Marineris_GS.Y	D3.Valles_Marineris_GS.Z	D3.Schiaparelli_Crater_GS.X	D3.Schiaparelli_Crater_GS.Y	D3.Schiaparelli_Crater_GS.Z	D3.Mawrth_Vallis_GS.X	D3.Mawrth_Vallis_GS.Y	D3.Mawrth_Vallis_GS.Z	D3.Arcadia_Planitia_GS.X	D3.Arcadia_Planitia_GS.Y	D3.Arcadia_Planitia_GS.Z
30988.75174	7398.420698	3082.104679	-2346.471979	6033.086333	-5230.237194	-2219.387011	6361.549095	-1599.522918	-8088.938435	4287.411119	-4208.687233	-8761.586278	7456.537728	2633.754948	-4863.73404
30988.75591	7252.758951	3558.021862	-3027.80859	5525.774117	-5824.356623	-2538.119668	5822.240584	-1642.234918	-8736.438322	3571.009094	-4605.433118	-8964.797817	7513.152461	2808.826741	-4040.278682
30988.76008	7016.477819	4017.293196	-3697.686063	4967.209638	-6350.539069	-2893.974297	5221.645395	-1638.333145	-9332.059809	2808.167253	-4932.391399	-9128.093158	7498.059187	2926.616692	-3202.786902
30988.76425	6693.038765	4451.84818	-4350.029737	4362.479115	-6802.669704	-3279.826612	4566.051756	-1590.882358	-9867.735576	2008.287438	-5187.529409	-9246.83659	7409.677065	2988.452137	-2361.735118
30988.76842	6287.043995	4853.783893	-4979.219654	3717.071075	-7175.658572	-3687.983185	3862.313622	-1503.742793	-10336.16205	1181.180265	-5369.921273	-9316.771943	7247.225245	2996.606948	-1527.584696
30988.77259	5804.163463	5215.510814	-5580.162081	3036.806792	-7465.521416	-4110.324055	3117.75434	-1381.486408	-10730.92352	336.9120553	-5479.749466	-9334.113565	7010.753293	2954.24537	-710.615733
30988.77676	5251.127421	5529.83659	-6148.253364	2327.880096	-7669.398035	-4538.383079	2340.188033	-1229.32192	-11046.54018	-514.2120717	-5518.272437	-9295.630249	6701.201224	2865.359312	79.1019695
30988.78093	4636.044785	5789.979932	-6679.129678	1597.247512	-7785.587154	-4963.244214	1538.324242	-1053.112803	-11278.47913	-1361.286054	-5487.856954	-9198.824076	6320.690901	2734.792458	831.4284008
30988.7851	3967.113551	5990.230291	-7169.745861	851.1456485	-7813.830235	-5376.533191	720.1136196	-858.9201084	-11423.71692	-2194.604553	-5391.888157	-9041.840924	5871.813602	2567.897438	1537.777227
30988.78927	3253.782697	6125.438514	-7617.193783	96.60262033	-7754.971667	-5769.639158	-105.6204477	-653.2399997	-11480.2037	-3003.944252	-5234.695929	-8823.685776	5358.379532	2370.66962	2189.558215
30988.79344	2505.455216	6191.45998	-8019.572542	-659.9361355	-7610.992835	-6134.578502	-930.7128331	-442.5468233	-11447.15134	-3780.151699	-5021.308826	-8543.990473	4784.603973	2149.346941	2779.523806
30988.7976	1732.560871	6184.994284	-8375.211078	-1411.385459	-7385.059064	-6463.461593	-1746.344511	-233.5151142	-11324.93451	-4513.878867	-4757.613366	-8203.409515	4155.933508	1910.618973	3300.74223
30988.80177	945.4409803	6103.786724	-8683.222995	-2151.092945	-7081.332683	-6749.130723	-2544.238719	-32.61817126	-11115.10366	-5196.754405	-4450.002147	-7803.309443	3478.271288	1661.225379	3747.508927
30988.80595	154.6536911	5946.597859	-8943.210791	-2872.431719	-6704.948388	-6985.03699	-3316.237952	153.8619053	-10820.33444	-5820.983691	-4105.364303	-7345.915645	2758.240259	1407.959204	4115.011434
30988.81012	-629.1464621	5713.266337	-9155.247575	-3568.848824	-6261.966698	-7165.359795	-4054.380136	319.9481422	-10444.42573	-6379.443566	-3730.989715	-6834.337584	2003.145957	1157.554413	4399.39834
30988.81429	-1395.417748	5404.727433	-9319.870016	-4233.986501	-5759.259747	-7285.134916	-4751.050674	460.0984466	-9992.234911	-6865.825017	-3334.421614	-6272.523279	1220.844792	916.5437018	4597.860457
30988.81847	-2134.062815	5022.90112	-9438.05784	-4861.89634	-5204.248552	-7340.343945	-5399.222745	569.3333468	-9469.456819	-7274.795453	-2923.217433	-5665.060907	419.4420862	691.0838824	4708.665704
30988.82265	-2834.986681	4570.956932	-9511.085722	-5446.597696	-4605.206774	-7327.927827	-5992.017149	643.237943	-8882.929929	-7601.720805	-2505.137734	-5017.596571	-392.1852679	487.0241468	4731.061003
30988.82683	-3488.73927	4053.095971	-9540.587626	-5982.571445	-3970.815436	-7245.936644	-6523.236445	678.1471407	-8240.25568	-7843.044262	-2087.759185	-4336.420441	-1204.999627	309.6380367	4665.412168
30988.83101	-4086.791788	3474.260448	-9528.458453	-6464.917617	-3309.787677	-7093.460526	-6987.519407	671.1838107	-7549.417538	-7996.289979	-1678.21744	-3628.143798	-2010.167987	163.5028828	4513.054289
30988.8352	-4620.978478	2840.638708	-9476.783761	-6888.850821	-2631.416318	-6870.760863	-7379.855342	620.2927884	-6819.359444	-8059.85478	-1283.529855	-2900.350263	-2798.314686	52.59564568	4276.35497
30988.83939	-5084.164673	2159.135771	-9387.808423	-7250.201593	-1944.887363	-6579.19967	-7696.086503	524.3128158	-6059.300227	-8033.216414	-910.1238386	-2160.91625	-3560.33746	-19.92954719	3958.60396
30988.84359	-5470.250553	1437.207071	-9263.830587	-7545.372825	-1259.122875	-6221.12863	-7932.847588	382.9432151	-5278.54887	-7916.801781	-563.7580391	-1417.887163	-4287.496941	-51.7478563	3563.83752
30988.84779	-5773.970414	683.1823717	-9107.210716	-7771.155028	-583.0755669	-5800.045243	-8087.408187	196.8198538	-4486.843179	-7711.991867	-249.6622169	-679.8319488	-4971.060062	-41.36366743	3096.973071
30988.85199	-5991.08488	-93.7838374	-8920.37826	-7924.861355	74.40380027	-5320.653133	-8157.823689	-32.41278393	-3694.242647	-7421.233631	27.58789813	44.26305207	-5602.46922	11.79449208	2563.851853
30988.8562	-6118.621664	-884.2341197	-8705.71023	-8004.493058	705.0598306	-4788.589785	-8143.056683	-302.2059006	-2910.563342	-7047.910562	264.3183088	745.5106842	-6173.833519	107.3533681	1970.917638
30988.86041	-6154.821228	-1678.463414	-8465.489875	-8008.685787	1301.256683	-4210.36134	-8042.911022	-609.1443572	-2145.333945	-6596.258015	457.7496644	1415.145426	-6677.918322	244.0233124	1325.134209
30988.86463	-6099.144151	-2466.41212	-8201.944159	-7936.720526	1855.901642	-3593.425837	-7858.057898	-948.9016898	-1407.896678	-6071.435372	605.9757628	2044.438412	-7108.087166	419.5757291	634.0802609
30988.86885	-5952.323288	-3237.993865	-7917.167924	-7788.566115	2362.698052	-2945.969331	-7590.037838	-1316.360187	-707.0887463	-5479.378951	708.0515454	2624.991585	-7458.541335	630.8920027	-94.28747947
30988.87307	-5716.360574	-3983.168316	-7613.125074	-7564.893074	2816.181875	-2276.84437	-7241.261878	-1705.656348	-51.18536181	-4826.770685	763.989371	3148.803413	-7724.367085	873.9956641	-851.679519
30988.87731	-5394.535972	-4692.060004	-7291.650828	-7267.10526	3211.789264	-1595.477067	-6815.024359	-2110.247486	552.1982466	-4120.996664	774.7623205	3608.380571	-7901.622669	1144.09629	-1629.542168
30988.88154	-4991.380472	-5355.143609	-6954.434949	-6897.348377	3545.951036	-911.7047867	-6315.478714	-2523.026026	1096.254125	-3370.042556	742.2964274	3996.893979	-7987.440616	1435.669788	-2419.193324
30988.88578	-4512.628572	-5963.395269	-6603.02132	-6458.511075	3816.147022	-235.6271629	-5747.607264	-2936.434652	1575.086378	-2582.399494	669.4372949	4308.301999	-7980.096669	1742.548696	-3211.933133
30988.89003	-3965.149751	-6508.439223	-6238.812967	-5954.216098	4020.942496	422.5514498	-5117.17861	-3342.593445	1983.801979	-1766.961248	559.8984951	4537.464419	-7879.062215	2058.027312	-3999.155451
30988.89427	-3357.686202	-6982.118067	-5863.578267	-5389.573971	4159.86638	1051.887698	-4431.619023	-3732.941679	2318.198449	-934.0074232	418.3949784	4680.115638	-7685.349909	2374.569905	-4771.464339
30988.89851	-2699.708221	-7377.841579	-5478.761738	-4770.226109	4233.907143	1642.262218	-3698.749977	-4099.253395	2575.753434	-93.45753042	250.3590535	4733.554278	-7401.461088	2684.603279	-5520.398467
30988.90275	-2001.15743	-7690.431537	-5085.529885	-4102.187532	4245.253977	2184.399367	-2926.61912	-4433.713602	2755.384416	745.2078911	61.73384576	4696.435264	-7031.112844	2980.64447	-6238.394825
30988.90697	-1272.419628	-7915.939998	-4684.908624	-3391.896369	4197.098529	2669.762902	-2123.563223	-4728.907242	2857.228351	1572.805233	-141.1443051	4568.633302	-6579.129278	3255.336594	-6918.589898
30988.9112	-524.3295513	-8051.605029	-4277.907436	-2646.301428	4093.536972	3090.544221	-1298.291699	-4977.863981	2882.549931	2380.349234	-351.6333328	4351.237845	-6051.44465	3501.511403	-7554.703589
30988.91542	232.0140214	-8095.914326	-3865.535648	-1872.772284	3939.488225	3439.816398	-459.7606395	-5174.206747	2833.717697	3159.192261	-562.9235402	4046.55868	-5455.021283	3712.34078	-8141.133079
30988.91964	985.3869535	-8048.632083	-3448.848912	-1079.053418	3740.600175	3711.640102	382.8999206	-5312.27112	2714.153363	3901.09888	-768.1661437	3658.120444	-4797.782094	3881.464961	-8672.98633
30988.92385	1724.723758	-7910.786831	-3028.915286	-273.059094	3503.101502	3901.197493	1220.622471	-5387.233693	2528.233981	4598.451283	-960.6411054	3190.554951	-4088.396148	4003.141298	-9146.199732
30988.92805	2439.139792	-7684.645271	-2606.921412	537.0657148	3233.709158	4004.805709	2044.349901	-5395.17167	2281.213308	5244.187288	-1133.849901	2649.599474	-3336.270943	4072.318815	-9557.455431
30988.93225	3118.156282	-7373.664436	-2184.161755	1343.103528	2939.480465	4019.995212	2845.213734	-5333.15155	1979.105999	5831.937382	-1281.659966	2041.980997	-2551.360551	4084.751475	-9904.239668
30988.93645	3751.811416	-6982.438947	-1762.084799	2136.809558	2627.692544	3945.535824	3614.589361	-5199.286216	1628.582979	6356.048367	-1398.413542	1375.346579	-1744.063579	4037.076953	-10184.81748
30988.94064	4330.816023	-6516.617025	-1342.303961	2910.017737	2305.70127	3781.45328	4344.209225	-4992.777102	1236.841751	6811.645831	-1479.04061	658.1418827	-925.0604665	3926.88679	-10398.22877
30988.94483	4846.656452	-5982.828147	-926.6324261	3654.693404	1980.821925	3529.0324	5026.220112	-4713.948478	811.4942622	7194.65134	-1519.153633	-100.4769046	-105.2012097	3752.784528	-10544.25596
30988.94902	5291.726589	-5388.575396	-517.087276	4363.03455	1660.193177	3190.800206	5653.28391	-4364.25866	360.4299489	7501.823626	-1515.139221	-890.7806823	704.6584384	3514.427055	-10623.40175
30988.9532	5659.464149	-4742.057577	-115.8584294	5027.616695	1350.622698	2770.446211	6218.707419	-3946.251231	-108.3630068	7730.79566	-1464.226194	-1702.679975	1493.879601	3212.51664	-10636.84972
30988.95738	5944.345174	-4052.192344	274.5952697	5641.312209	1058.543233	2272.859302	6716.374145	-3463.622611	-586.8217558	7880.020729	-1364.552603	-2525.675955	2251.997815	2848.871389	-10586.40932
30988.96156	6142.038349	-3328.423024	651.6051158	6197.47069	789.8570046	1704.039033	7140.906679	-2921.157537	-1066.993406	7948.832648	-1215.225338	-3349.100106	2968.975274	2426.403496	-10474.49307
30988.96573	6249.503791	-2580.255991	1012.457964	6690.20025	549.7329836	1070.73378	7487.867621	-2324.411969	-1541.367037	7937.424373	-1016.261415	-4162.611456	3635.621779	1948.88282	-10303.98222
30988.96991	6264.879405	-1817.732672	1354.1	7113.97634	342.7421773	380.8307916	7753.4611	-1680.105077	-2002.589581	7846.781993	-768.7327126	-4955.650549	4243.125765	1421.255725	-10078.26989
30988.97408	6187.639651	-1050.866814	1673.386021	7464.044233	172.6186816	-357.073846	7934.837828	-995.7262087	-2443.861417	7678.714334	-474.6854852	-5718.069251	4783.604778	849.3491956	-9801.145102
30988.97825	6018.555577	-289.5342199	1967.08327	7736.419615	42.22570203	-1133.787525	8030.071788	-279.4455981	-2859.008857	7435.783387	-137.1093723	-6440.220025	5250.152977	239.7989385	-9476.71317
30988.98242	5759.672707	456.6184435	2231.884622	7927.903469	-46.47261876	-1939.610356	8038.155792	459.9594187	-3242.543424	7121.260303	240.0881541	-7113.035861	5636.890462	-400.0100145	-9109.340723
30988.98659	5414.312697	1178.256458	2464.436058	8036.120808	-92.43963485	-2764.408011	7959.023972	1213.168682	-3589.716422	6739.109536	652.1016118	-7728.113769	5939.026924	-1061.994148	-8703.624447
30988.99075	4986.867405	1866.778584	2661.47374	8059.582215	-95.58987732	-3598.096012	7793.503219	1970.762214	-3896.719621	6293.763602	1093.471937	-8278.073112	6153.035507	-1737.761585	-8264.153469
30988.99492	4483.0858	2513.82344	2819.691945	7997.66178	-56.76991563	-4430.054437	7543.423192	2722.693227	-4160.453736	5790.435047	1557.790065	-8756.157824	6276.487954	-2418.145927	-7795.823893
30988.99909	3909.575675	3112.09302	2936.007983	7850.655313	22.24855696	-5250.124528	7211.447338	3459.204481	-4378.886748	5234.61062	2038.23751	-9156.906167	6308.32662	-3094.026104	-7303.338297
30989.00326	3273.85756	3655.100978	3007.499029	7619.714657	138.8339861	-6048.360324	6801.062217	4170.612652	-4550.900121	4632.151368	2527.501008	-9475.920606	6248.716962	-3756.148867	-6791.336082
30989.00743	2584.699556	4136.977256	3031.455927	7307.056927	289.4414801	-6814.702258	6316.857288	4847.041341	-4676.228685	3989.629587	3017.582822	-9709.807355	6099.162044	-4394.87806	-6264.671314
30989.0116	1851.607599	4553.002706	3005.554896	6915.885999	469.7237895	-7539.723258	5764.274892	5479.117863	-4755.625302	3313.87611	3500.27793	-9856.553828	5862.549148	-5000.842388	-5728.021123
30989.01417	1382.060315	4775.110257	2963.893237	6637.323232	593.5058725	-7962.361271	5392.149142	5842.914397	-4782.395012	2883.690837	3790.623203	-9903.269595	5675.037027	-5354.223855	-5394.100694
