D1.A1ModJulian	D1.Hellas_Planitia_GS.X	D1.Hellas_Planitia_GS.Y	D1.Hellas_Planitia_GS.Z	D1.Valles_Marineris_GS.X	D1.Valles_Marineris_GS.Y	D1.Valles_Marineris_GS.Z	D1.Schiaparelli_Crater_GS.X	D1.Schiaparelli_Crater_GS.Y	D1.Schiaparelli_Crater_GS.Z	D1.Mawrth_Vallis_GS.X	D1.Mawrth_Vallis_GS.Y	D1.Mawrth_Vallis_GS.Z	D1.Arcadia_Planitia_GS.X	D1.Arcadia_Planitia_GS.Y	D1.Arcadia_Planitia_GS.Z
30988.93672	4656.292551	-11470.45391	-2.154450826	3108.125492	5610.709807	7715.930043	5279.597734	-7303.015904	5734.650165	9897.836553	-762.9836793	4708.465921	-3722.534636	5228.080329	-14512.0432
30988.94508	5555.853538	-10836.52727	641.3903003	4284.471515	5153.347709	7536.339549	6404.019762	-7040.325515	5194.380175	10637.19358	-895.4375315	3678.402833	-2512.811271	5098.923212	-14892.97708
30988.95343	6350.183006	-10106.33822	1291.499383	5419.921071	4708.595051	7220.544448	7457.290303	-6659.229659	4618.043224	11270.92645	-950.7109083	2591.156466	-1309.910472	4861.129667	-15181.52701
30988.96178	7024.862869	-9294.00398	1947.820244	6502.32557	4292.076102	6772.493811	8427.785862	-6160.374204	4022.125013	11795.00631	-919.4053896	1464.126219	-133.5077116	4511.675351	-15381.0142
30988.97013	7567.72638	-8415.009956	2609.088441	7519.971017	3918.29633	6198.652945	9304.924485	-5546.986929	3422.966603	12206.90018	-794.3335372	315.5151498	997.1495603	4050.099309	-15495.76873
30988.97847	7968.829957	-7486.147328	3272.825762	8461.345461	3600.438094	5508.002967	10078.94846	-4825.004055	2836.583872	12505.33881	-570.7207761	-835.6359311	2063.19213	3478.66403	-15530.86937
30988.9868	8220.819387	-6524.783416	3935.571228	9315.691207	3349.901902	4711.588654	10741.37984	-4002.703138	2278.053065	12690.40461	-246.2776103	-1970.289217	3046.932519	2802.133386	-15491.98582
30988.99514	8318.875579	-5548.717538	4592.695811	10072.86077	3176.14532	3822.411934	11284.86335	-3090.697977	1761.328191	12763.32101	178.7025623	-3069.474089	3931.880122	2027.805202	-15385.14044
30989.00347	8260.821107	-4575.745864	5238.471327	10723.5245	3086.430806	2855.117649	11703.30859	-2101.699185	1298.883399	12726.38754	701.325775	-4114.735354	4703.125888	1165.355581	-15216.52598
30989.01181	8047.15223	-3623.276834	5866.135103	11259.31823	3085.640771	1825.681927	11991.97149	-1050.266287	901.4213868	12582.8833	1316.126848	-5088.511319	5347.639862	226.660164	-14992.32493
30989.01417	7958.480442	-3358.875093	6040.024957	11389.49093	3102.020173	1524.359124	12049.78613	-742.5108405	801.6581651	12523.261	1506.473301	-5349.704845	5505.992713	-51.92531696	-14919.36499
