MSC.A1ModJulian,D4.Hellas_Planitia_GS.X,D4.Hellas_Planitia_GS.Y,D4.Hellas_Planitia_GS.Z,D4.Valles_Marineris_GS.X,D4.Valles_Marineris_GS.Y,D4.Valles_Marineris_GS.Z,D4.Schiaparelli_Crater_GS.X,D4.Schiaparelli_Crater_GS.Y,D4.Schiaparelli_Crater_GS.Z,D4.Mawrth_Vallis_GS.X,D4.Mawrth_Vallis_GS.Y,D4.Mawrth_Vallis_GS.Z,D4.Arcadia_Planitia_GS.X,D4.Arcadia_Planitia_GS.Y,D4.Arcadia_Planitia_GS.Z
30988.85266,-8817.491599,-9364.350445,-4499.559879,-8252.118463,9411.215064,-202.7948378,-7734.291074,-1340.073013,6869.197142,-2746.247805,5104.555618,8158.726781,-12775.91576,-972.4692601,-5249.502419
30988.86111,-7627.205899,-10377.73452,-4189.315028,-7483.92383,9466.098014,1192.498704,-6673.742428,-2407.042207,7395.307879,-1343.409346,4514.509637,8631.874956,-12555.7036,-32.36798506,-6517.451706
30988.86955,-6299.894637,-11241.06828,-3933.281464,-6640.449961,9328.31973,2549.783691,-5539.967743,-3492.590449,7725.146532,55.39290202,3793.039737,8940.884691,-12151.56018,968.7278415,-7703.676309
30988.87797,-4859.784641,-11935.13965,-3723.335029,-5726.727212,9006.462348,3838.677764,-4345.112817,-4567.282802,7855.865397,1431.166531,2962.741151,9073.476354,-11565.46456,2002.556276,-8793.364364
30988.88639,-3333.078184,-12444.6346,-3549.775851,-4748.627751,8513.309348,5030.593055,-3101.923688,-5601.970642,7789.214361,2766.184156,2048.670414,9021.101509,-10803.02881,3040.142716,-9774.509924
30988.8948,-1747.80773,-12758.31803,-3401.741573,-3713.123939,7865.603702,6099.051339,-1823.916045,-6568.222854,7531.441246,4043.897579,1077.941701,8779.17584,-9873.617883,4052.240681,-10637.78675
30988.9032,-132.8317623,-12869.42012,-3267.544683,-2627.996182,7083.471511,7020.608088,-524.8564037,-7439.304105,7093.079113,5249.556148,78.79370509,8347.214556,-8789.990793,5010.338195,-11376.90876
30988.91159,1482.330186,-12775.6647,-3135.121157,-1502.074476,6190.065022,7775.061098,781.0658948,-8190.547769,6488.700015,6370.049393,-919.8519714,7728.929923,-7568.312222,5887.073076,-11988.39188
30988.91998,3068.192967,-12479.37009,-2992.431501,-345.1282161,5210.970205,8345.990414,2079.494323,-8800.034116,5736.555347,7394.162608,-1889.158377,6932.218678,-6227.831517,6656.975061,-12471.58336
30988.92835,4596.029871,-11987.33684,-2827.858787,832.3077874,4173.48535,8721.138573,3356.192512,-9249.156571,4858.03542,8312.76585,-2801.155979,5968.94563,-4790.397178,7297.137712,-12828.57188
30988.93672,6038.2519,-11310.67728,-2630.616772,2018.896714,3106.059602,8892.561848,4597.067799,-9522.970641,3877.203465,9118.742906,-3629.298177,4854.782971,-3280.174937,7787.659409,-13063.9316
30988.94508,7368.980557,-10464.53667,-2391.11453,3202.638818,2037.58931,8856.786347,5788.373151,-9610.559071,2820.191713,9807.03174,-4349.115272,3608.879342,-1723.147196,8112.131578,-13184.49877
30988.95343,8564.557425,-9467.695293,-2101.281782,4371.025172,996.711008,8614.824599,6916.891955,-9505.268833,1714.543001,10374.59835,-4938.795552,2253.429193,-146.5668076,8258.013272,-13199.07999
30988.96178,9603.786787,-8342.306596,-1754.916262,5510.980495,11.30668207,8172.166001,7969.90222,-9204.89515,588.749284,10820.27487,-5379.602538,813.4541563,1421.305834,8216.909523,-13118.13358
30988.97013,10468.65853,-7113.081313,-1347.840449,6609.362819,-892.4456419,7538.528368,8935.648836,-8711.688636,-528.7431997,11144.80865,-5656.473233,-684.1202444,2952.220489,7984.796527,-12953.41406
30988.97847,11144.3174,-5807.117182,-878.2221602,7652.737337,-1690.344279,6727.771963,9803.116187,-8032.427784,-1609.809182,11350.57247,-5758.230973,-2210.522937,4417.953855,7562.149164,-12717.63138
30988.9868,11619.65568,-4452.786049,-346.5401744,8628.000012,-2361.079965,5757.297141,10562.53951,-7178.066076,-2627.742043,11441.5236,-5677.952123,-3736.343445,5791.482756,6953.837009,-12423.99946
30988.99514,11887.23941,-3079.429047,244.2368731,9522.259148,-2886.468184,4647.79462,11205.24354,-6163.617526,-3557.555842,11422.91815,-5413.044467,-5231.738309,7047.095741,6169.075685,-12085.89633
30989.00347,11943.48564,-1716.636518,888.6588631,10323.09984,-3251.932359,3422.748933,11723.80904,-5007.82354,-4376.626601,11301.13846,-4965.354602,-6667.144283,8161.004974,5221.240742,-11716.48875
30989.01181,11788.72062,-393.5901983,1578.841517,11018.79092,-3446.861341,2107.921004,12112.17308,-3732.768282,-5065.221785,11083.49102,-4341.166532,-8013.908818,9111.842424,4127.606597,-11328.38004
30989.01417,11706.79439,-29.06768845,1781.814696,11195.64893,-3470.133872,1721.959457,12198.04352,-3352.348944,-5234.615042,11005.30756,-4133.108296,-8376.380607,9349.480679,3793.274801,-11216.41134
