MSC.A1ModJulian,D2.Hellas_Planitia_GS.X,D2.Hellas_Planitia_GS.Y,D2.Hellas_Planitia_GS.Z,D2.Valles_Marineris_GS.X,D2.Valles_Marineris_GS.Y,D2.Valles_Marineris_GS.Z,D2.Schiaparelli_Crater_GS.X,D2.Schiaparelli_Crater_GS.Y,D2.Schiaparelli_Crater_GS.Z,D2.Mawrth_Vallis_GS.X,D2.Mawrth_Vallis_GS.Y,D2.Mawrth_Vallis_GS.Z,D2.Arcadia_Planitia_GS.X,D2.Arcadia_Planitia_GS.Y,D2.Arcadia_Planitia_GS.Z
30988.50043,11493.97677,607.531191,2200.897121,11509.7955,-3430.832031,996.7375269,12338.02167,-2611.496496,-5474.871812,10862.46068,-3674.97179,-9005.574741,9731.316256,3122.672005,-11041.27416
30988.50112,11524.57827,534.7800751,2145.499615,11472.1466,-3443.566515,1084.59226,12321.81541,-2704.048774,-5453.20402,10878.30495,-3737.101298,-8933.554303,9690.26335,3208.251637,-11058.26963
30988.50296,11603.4686,345.2054282,1994.96172,11368.845,-3480.090817,1314.415327,12274.87887,-2948.417742,-5399.309157,10915.17927,-3902.95919,-8743.935391,9581.213323,3434.87911,-11097.91767
30988.50752,11787.88163,-111.3360212,1593.017522,11086.85521,-3589.259209,1873.487252,12131.7332,-3557.210048,-5285.82503,10975.75514,-4327.531219,-8274.822871,9305.267154,4003.661517,-11163.77879
30988.5153,12059.05698,-832.3528629,825.1093979,10528.55063,-3832.591331,2774.691849,11803.0271,-4586.535679,-5161.224516,10975.25933,-5082.146701,-7491.471434,8823.584462,4978.881286,-11167.30466
30988.52357,12282.08118,-1512.642554,-95.45854222,9833.390216,-4164.744719,3650.137628,11339.2731,-5655.854728,-5122.907538,10830.98951,-5915.743237,-6688.799508,8299.25625,6010.28464,-11021.47519
30988.5319,12431.53692,-2099.938886,-1115.923042,9036.065071,-4566.578322,4432.061003,10758.05691,-6689.114687,-5179.151537,10537.33724,-6771.838234,-5921.029034,7762.486651,7025.548844,-10721.94424
30988.54023,12498.71091,-2583.982984,-2214.51923,8149.671598,-5025.138915,5102.697576,10067.53017,-7662.588917,-5324.909469,10097.81399,-7628.441873,-5200.769263,7219.338601,8000.501737,-10274.52757
30988.54857,12477.05096,-2961.263985,-3372.739743,7184.811174,-5527.102047,5651.662274,9275.068592,-8559.650096,-5552.001402,9518.119049,-8467.48655,-4534.253949,6672.045185,8917.224937,-9687.694244
30988.5569,12360.93008,-3231.339759,-4571.943793,6152.133158,-6057.941704,6071.544054,8388.71352,-9365.911255,-5850.049997,8805.912517,-9271.463874,-3925.240277,6121.444405,9759.52365,-8972.231462
