MSC.A1ModJulian,D3.Hellas_Planitia_GS.X,D3.Hellas_Planitia_GS.Y,D3.Hellas_Planitia_GS.Z,D3.Valles_Marineris_GS.X,D3.Valles_Marineris_GS.Y,D3.Valles_Marineris_GS.Z,D3.Schiaparelli_Crater_GS.X,D3.Schiaparelli_Crater_GS.Y,D3.Schiaparelli_Crater_GS.Z,D3.Mawrth_Vallis_GS.X,D3.Mawrth_Vallis_GS.Y,D3.Mawrth_Vallis_GS.Z,D3.Arcadia_Planitia_GS.X,D3.Arcadia_Planitia_GS.Y,D3.Arcadia_Planitia_GS.Z
30988.50043,8260.302831,-4079.265439,5481.638068,11008.52002,2970.519004,2395.808223,11881.94207,-1664.144081,1012.075527,12673.23889,884.8536754,-4633.499149,5096.291392,801.3557877,-15080.33427
30988.50112,8303.948961,-4164.276622,5401.438316,10957.77214,2941.545428,2506.031044,11858.76858,-1785.777634,1027.312131,12687.39242,795.5448062,-4547.548643,5050.11793,916.6463298,-15092.16594
30988.50296,8418.456293,-4383.822947,5184.245315,10820.22712,2859.459,2793.830461,11793.6439,-2106.850223,1061.319264,12718.87296,556.2911617,-4323.379094,4929.707577,1222.267453,-15116.29876
30988.50752,8698.80058,-4899.679408,4609.05577,10455.13915,2619.959651,3490.174238,11606.46706,-2905.868771,1106.904501,12760.03046,-61.15106555,-3782.440118,4639.127997,1990.951031,-15131.55936
30988.5153,9154.434248,-5669.155278,3525.828666,9763.936863,2101.802342,4597.797148,11207.32826,-4251.68074,1056.362676,12706.3112,-1172.936355,-2925.629856,4177.867994,3312.118879,-15009.77743
30988.52357,9597.26517,-6325.063684,2248.967758,8941.93325,1410.074394,5647.802551,10675.59822,-5638.108258,828.8308243,12476.96554,-2417.095936,-2115.595075,3737.997502,4709.5588,-14677.56596
30988.5319,9985.70956,-6806.314701,856.6491542,8034.728448,584.168259,6551.075037,10033.7502,-6959.974668,426.6579953,12067.78667,-3707.432195,-1416.561691,3350.489145,6080.274113,-14137.17769
30988.54023,10302.37086,-7101.634511,-618.0192008,7058.773892,-351.5124221,7281.930216,9290.900847,-8181.476328,-137.4727186,11483.13497,-5007.723159,-842.4878912,3018.750998,7386.669411,-13398.6548
30988.54857,10532.99286,-7208.672402,-2146.994422,6026.826316,-1372.704034,7824.756835,8454.855243,-9276.80089,-847.1914641,10729.98117,-6287.681348,-398.7816395,2741.142543,8600.103289,-12475.11779
30988.5569,10664.50243,-7129.960486,-3702.552399,4951.137873,-2453.39433,8168.637351,7533.910919,-10223.85695,-1682.773495,9817.892991,-7518.102619,-86.67653898,2513.474633,9694.853936,-11382.90019
30988.56525,10685.11511,-6872.39099,-5257.260624,3843.649685,-3566.146955,8306.970645,6536.975343,-11004.0071,-2621.586463,8758.907616,-8670.913012,96.25176748,2329.442678,10647.95557,-10141.28265
30988.57359,10584.66535,-6447.122474,-6783.791794,2716.357574,-4682.225561,8237.530595,5473.94057,-11602.08312,-3638.199973,7567.829247,-9719.255286,155.8477071,2180.964977,11439.24059,-8772.683636
30988.58194,10354.93958,-5869.136645,-8256.401978,1580.495151,-5772.937835,7962.60226,4354.978854,-12007.1823,-4705.552597,6261.349686,-10638.79593,101.2725375,2058.360304,12052.36046,-7301.468347
30988.5903,9990.043008,-5157.15297,-9650.435351,447.1536775,-6809.584817,7488.99963,3191.147594,-12212.52471,-5794.924254,4858.565761,-11407.6099,-55.32137765,1950.780049,12474.64648,-5754.374196
30988.59867,9486.486499,-4332.797394,-10943.7663,-673.58145,-7764.85017,6827.745438,1993.538434,-12215.86405,-6877.309294,3379.798811,-12007.29036,-299.1817506,1846.484853,12697.79702,-4159.017628
30988.60704,8843.480903,-3420.366065,-12116.49091,-1772.166,-8612.904652,5993.967458,773.7106527,-12019.32665,-7923.570912,1846.885622,-12422.91983,-613.3464131,1733.283338,12717.75767,-2544.069603
30988.61542,8063.301203,-2446.491418,-13151.17849,-2839.491235,-9329.949826,5006.873933,-456.1873906,-11629.56284,-8904.960508,283.1275235,-12643.49895,-978.9910911,1598.951389,12534.98179,-939.0031016
30988.6238,7151.076358,-1439.073481,-14033.76502,-3867.469917,-9895.225077,3888.961691,-1684.122755,-11057.52981,-9794.318153,-1287.844526,-12662.44956,-1376.095304,1431.593297,12154.46874,627.2679961
30988.6322,6114.943433,-426.8341873,-14753.45295,-4848.773168,-10291.27327,2665.711798,-2897.978859,-10318.25352,-10566.4415,-2842.088004,-12477.64157,-1783.923404,1220.074265,11585.61245,2126.538738
30988.64061,4965.913929,561.4449489,-15302.92574,-5776.919372,-10504.40666,1364.941421,-4085.76782,-9430.432309,-11198.75129,-4355.884665,-12091.45253,-2181.619875,954.3905965,10841.95486,3531.98186
30988.64902,3717.924613,1497.455841,-15678.32615,-6646.116789,-10525.00893,16.39012727,-5235.557399,-8416.137085,-11671.72943,-5805.912198,-11510.78118,-2548.716778,626.0703056,9940.987854,4818.443456
30988.65744,2387.498821,2354.185367,-15879.3462,-7451.374016,-10347.83835,-1349.112971,-6335.753324,-7300.193807,-11969.49923,-7169.86352,-10746.87574,-2865.754,228.4701382,8903.671664,5963.134051
30988.66588,993.5898159,3106.490586,-15909.10189,-8188.385151,-9972.1695,-2700.230421,-7375.112642,-6109.683718,-12080.17351,-8426.709707,-9815.130182,-3114.789608,-242.9152389,7754.021311,6945.951812
30988.67432,-442.7990262,3731.755205,-15773.98546,-8853.520409,-9401.837072,-4005.887807,-8342.907044,-4873.259993,-11996.1761,-9557.131056,-8734.711682,-3279.921786,-790.2394591,6518.506474,7749.919775
30988.68278,-1898.875982,4210.399978,-15483.44281,-9443.716646,-8645.222352,-5235.879075,-9228.953797,-3620.570992,-11714.45394,-10543.76291,-7528.214692,-3347.734349,-1413.089047,5225.533382,8361.438318
30988.69124,-3350.521113,4526.420209,-15049.69986,-9956.447439,-7715.10908,-6361.61073,-10023.7613,-2381.528578,-11236.61479,-11371.5531,-6221.142557,-3307.719857,-2108.375855,3904.758232,8770.589365
30988.69971,-4772.832597,4667.822569,-14487.38489,-10389.68907,-6628.371463,-7356.832183,-10718.67496,-1185.527042,-10568.90375,-12028.07076,-4841.255215,-3152.612833,-2870.332713,2586.31782,8971.336288
30988.70819,-6140.473392,4626.935612,-13813.18222,-10741.81157,-5405.728029,-8198.149664,-11305.89834,-60.86456912,-9722.165686,-12503.64963,-3418.076627,-2878.660699,-3690.462584,1300.256212,8961.59651
30988.71668,-7428.475958,4400.643552,-13045.26019,-11011.60076,-4071.052246,-8865.77029,-11778.71345,966.17461,-8711.473178,-12791.66485,-1981.926295,-2485.745427,-4557.805027,75.54625877,8743.272058
30988.72518,-8612.579941,3990.459213,-12202.85802,-11198.142,-2650.962528,-9343.831384,-12131.46034,1871.793105,-7555.869602,-12888.53107,-563.38599,-1977.458905,-5459.023533,-1060.427161,8322.125475
30988.73368,-9669.793431,3402.526468,-11305.7815,-11300.78901,-1174.189872,-9620.810949,-12359.62766,2635.288095,-6277.931168,-12793.76398,807.4515714,-1361.070108,-6378.674594,-2082.555561,7707.628096
30988.74219,-10578.69516,2647.720967,-10374.14849,-11319.13955,328.6986437,-9689.826307,-12459.9088,3239.427163,-4903.619183,-12510.06488,2101.375671,-647.5934122,-7299.289525,-2968.406174,6912.951688
30988.7507,-11320.50097,1741.086169,-9427.39805,-11253.06807,1826.827158,-9548.956023,-12430.3744,3671.286612,-3460.97437,-12043.18357,3291.503832,148.7832089,-8202.261924,-3699.322539,5954.306271
30988.75922,-11879.1245,701.6680123,-8484.122886,-11102.6711,3289.238302,-9201.173367,-12270.41421,3922.286283,-1979.88346,-11401.78667,4353.444403,1010.821854,-9067.961508,-4260.507973,4850.742264
30988.76774,-12241.63194,-447.8263329,-7561.669502,-10868.31893,4685.584606,-8654.396258,-11980.82946,3988.474115,-491.4517393,-10597.3719,5265.895705,1918.576578,-9876.186059,-4641.439026,3623.821829
30988.77626,-12398.69762,-1681.362442,-6675.824466,-10550.77136,5986.763045,-7921.524783,-11563.98214,3870.764346,972.5786951,-9644.239323,6011.182474,2849.752349,-10606.62956,-4836.224428,2297.355348
30988.78477,-12345.08876,-2970.531919,-5840.16979,-10151.18896,7166.104012,-7020.059657,-11023.77262,3575.022031,2381.074611,-8559.021944,6576.049281,3780.547341,-11239.70979,-4843.954597,896.5340677
30988.79328,-12079.6804,-4285.804211,-5065.521206,-9670.975223,8200.400208,-5971.208203,-10365.32963,3111.664623,3704.787557,-7359.831809,6952.071176,4686.645448,-11757.28953,-4668.583006,-553.2311668
30988.80179,-11605.46121,-5596.546567,-4360.243462,-9112.022231,9069.725495,-4799.80257,-9595.222747,2495.46659,4916.225312,-6066.451787,7135.425998,5543.322275,-12142.76967,-4318.709964,-2026.09911
30988.81028,-10929.40136,-6872.301108,-3729.82676,-8476.570587,9758.307635,-3533.276753,-8721.133664,1744.983693,5990.830121,-4699.459265,7127.103559,6326.453161,-12381.75797,-3807.269677,-3496.930583
