COMPASS_1_1.A1ModJulian,COMPASS_3_3.Hellas_Planitia_GS.X,COMPASS_3_3.Hellas_Planitia_GS.Y,COMPASS_3_3.Hellas_Planitia_GS.Z,COMPASS_3_3.Valles_Marineris_GS.X,COMPASS_3_3.Valles_Marineris_GS.Y,COMPASS_3_3.Valles_Marineris_GS.Z,COMPASS_3_3.Schiaparelli_Crater_GS.X,COMPASS_3_3.Schiaparelli_Crater_GS.Y,COMPASS_3_3.Schiaparelli_Crater_GS.Z,COMPASS_3_3.Mawrth_Vallis_GS.X,COMPASS_3_3.Mawrth_Vallis_GS.Y,COMPASS_3_3.Mawrth_Vallis_GS.Z,COMPASS_3_3.Arcadia_Planitia_GS.X,COMPASS_3_3.Arcadia_Planitia_GS.Y,COMPASS_3_3.Arcadia_Planitia_GS.Z
30988.50043,8747.546693,-18595.00774,8657.735132,10731.70224,12457.16722,13839.52489,13778.12606,-8622.764757,14012.60852,20938.52125,2748.651722,7583.011723,-3606.075318,4828.585557,-26441.76057
30988.50112,8776.065607,-18574.49177,8668.682959,10761.94764,12436.58901,13835.54483,13807.57265,-8619.790169,13990.74214,20955.90939,2737.516292,7552.55285,-3569.705039,4830.672245,-26446.95063
30988.503,8851.708063,-18519.31082,8698.349977,10842.80127,12381.9867,13824.22541,13886.11901,-8611.075693,13932.42081,21002.106,2708.450357,7470.895671,-3472.570414,4835.475337,-26460.68545
30988.50839,9059.078195,-18361.93515,8784.816625,11069.58417,12232.19951,13787.08691,14105.0623,-8580.540391,13770.00966,21129.43914,2632.595053,7240.074962,-3200.931118,4842.731638,-26498.17402
30988.52289,9541.296116,-17953.5937,9023.854323,11634.2872,11884.62088,13657.79863,14640.79216,-8462.011823,13375.85185,21431.73558,2484.471569,6654.334252,-2531.547539,4817.001097,-26585.80647
30988.5432,10034.24666,-17438.45689,9365.504749,12305.01412,11537.04436,13424.54522,15256.187,-8225.504805,12939.45202,21761.11384,2405.390048,5939.948317,-1757.979449,4685.921157,-26683.28288
30988.5643,10330.25674,-17005.12955,9709.955627,12838.31766,11347.94749,13152.75362,15722.097,-7927.738438,12642.2921,21994.57282,2461.320813,5359.940033,-1176.36377,4463.613409,-26762.9285
30988.5855,10423.24569,-16704.25284,10019.76692,13191.7693,11324.8422,12888.75579,16007.37673,-7617.468337,12509.9867,22125.58613,2628.432574,4972.556565,-834.1084845,4191.88286,-26827.5861
30988.6067,10334.37938,-16560.5563,10264.31032,13350.37848,11449.9311,12670.71155,16106.85795,-7339.041772,12540.47485,22159.37775,2869.637294,4802.186962,-740.4855819,3914.431354,-26878.6038
30988.6279,10090.83615,-16587.65758,10412.34353,13304.71802,11695.62283,12531.02507,16019.92028,-7133.901625,12720.2552,22100.2313,3143.41832,4861.409082,-893.2159497,3674.624563,-26912.18581
