COMPASS_1_1.A1ModJulian	COMPASS_3_2.Hellas_Planitia_GS.X	COMPASS_3_2.Hellas_Planitia_GS.Y	COMPASS_3_2.Hellas_Planitia_GS.Z	COMPASS_3_2.Valles_Marineris_GS.X	COMPASS_3_2.Valles_Marineris_GS.Y	COMPASS_3_2.Valles_Marineris_GS.Z	COMPASS_3_2.Schiaparelli_Crater_GS.X	COMPASS_3_2.Schiaparelli_Crater_GS.Y	COMPASS_3_2.Schiaparelli_Crater_GS.Z	COMPASS_3_2.Mawrth_Vallis_GS.X	COMPASS_3_2.Mawrth_Vallis_GS.Y	COMPASS_3_2.Mawrth_Vallis_GS.Z	COMPASS_3_2.Arcadia_Planitia_GS.X	COMPASS_3_2.Arcadia_Planitia_GS.Y	COMPASS_3_2.Arcadia_Planitia_GS.Z
30988.50043	2082.171142	846.9099162	-27109.03189	-16424.61756	-16315.67216	2163.265828	-14008.06981	-14675.32238	-15870.00987	-13737.7506	-18796.95741	1665.249129	-3691.942895	16864.75699	13014.54717
30988.50112	2117.859113	856.0985089	-27105.57405	-16397.87861	-16338.90719	2173.998032	-13978.59085	-14687.40314	-15888.85302	-13715.58661	-18818.5656	1644.954756	-3660.015458	16880.8997	13005.05665
30988.503	2214.86437	881.8287294	-27095.85492	-16324.80182	-16402.2705	2202.483118	-13898.22303	-14719.60534	-15940.53046	-13655.45238	-18877.05776	1589.016694	-3572.645849	16924.25859	12979.50114
30988.50839	2500.037383	963.678763	-27064.54352	-16106.63237	-16590.1841	2280.547469	-13659.9197	-14808.98242	-16096.17987	-13479.51966	-19046.94181	1418.164213	-3310.950097	17047.37805	12906.28631
30988.52289	3307.652944	1242.454893	-26952.94695	-15461.84087	-17133.40731	2458.213702	-12968.15766	-15020.77766	-16564.17653	-12986.32399	-19510.78805	885.2312783	-2532.608937	17361.70229	12711.8689
30988.5432	4519.505606	1778.864061	-26717.15706	-14418.52396	-17969.67604	2613.336209	-11880.66207	-15228.35382	-17329.80309	-12252.30215	-20155.52901	-40.74904783	-1268.562612	17739.79996	12445.13386
30988.5643	5844.483344	2513.536044	-26353.52792	-13167.56406	-18898.11086	2638.697029	-10616.3514	-15305.09471	-18237.08719	-11444.84385	-20781.37551	-1217.125834	238.904024	18022.31056	12170.78522
30988.5855	7205.767466	3421.574103	-25844.87911	-11748.98617	-19850.7032	2510.027722	-9222.684286	-15213.43279	-19229.88186	-10594.24058	-21323.78897	-2602.265863	1923.507737	18160.01361	11888.82886
30988.6067	8561.965007	4479.350302	-25173.70485	-10180.22791	-20780.21342	2220.812542	-7720.20261	-14934.27066	-20265.86181	-9707.488073	-21742.03497	-4166.67547	3744.611098	18124.9683	11587.18086
30988.6279	9879.123881	5656.768776	-24326.83273	-8478.68529	-21642.871	1774.730955	-6126.948464	-14458.97531	-21302.22551	-8786.658913	-22003.67351	-5876.071002	5661.361182	17899.3776	11250.14657
30988.6491	11128.32915	6917.307063	-23297.23548	-6664.56971	-22398.14184	1184.73799	-4461.462532	-13789.10976	-22295.69309	-7831.648587	-22084.2564	-7690.183113	7630.606852	17475.29497	10860.57439
30988.67031	12286.26001	8219.69868	-22085.03476	-4760.973094	-23010.57275	472.2025938	-2742.960279	-12936.33919	-23204.53342	-6841.119896	-21968.42636	-9564.188104	9608.183168	16854.96559	10401.39929
30988.69151	13335.86728	9520.118642	-20698.02414	-2793.39201	-23451.67754	-334.4058516	-991.0819872	-11921.82119	-23990.81685	-5813.274749	-21650.74044	-11450.76595	11550.73466	16050.71668	9857.116875
30988.71271	14266.72619	10774.52708	-19151.78991	-789.1182299	-23701.47309	-1201.220673	774.3835109	-10775.08648	-24622.4894	-4746.657213	-21135.97615	-13302.3123	13417.5152	15084.31203	9215.18884
30988.73392	15075.08428	11941.11996	-17469.28564	1223.614779	-23749.56011	-2091.049788	2533.908994	-9532.365746	-25075.16769	-3640.864148	-20438.82856	-15073.30335	15172.17833	13985.70701	8467.240525
30988.75512	15763.32575	12982.34883	-15680.44576	3216.003807	-23595.66238	-2965.397227	4268.157711	-8234.874322	-25333.39121	-2497.491974	-19583.24391	-16722.07774	16783.8602	12791.64123	7610.22801
30988.77632	16339.47244	13867.23727	-13820.64916	5159.999322	-23249.63434	-3786.957918	5958.707483	-6926.260523	-25391.59194	-1320.465758	-18600.93119	-18213.21386	18228.76379	11543.3617	6646.969083
30988.79753	16815.96337	14572.72146	-11929.88916	7028.446004	-22730.96855	-4521.54469	7587.729863	-5650.653384	-25254.34235	-116.8874952	-17529.91139	-19518.60303	19490.41172	10284.76609	5586.824506
30988.81873	17208.57435	15085.11253	-10050.70459	8796.270409	-22067.68169	-5140.309636	9138.594088	-4449.981451	-24936.17618	1102.929428	-16412.25151	-20619.01465	20560.37571	9059.75178	4445.535913
30988.83993	17534.9358	15400.69338	-8226.679881	10440.81132	-21294.85779	-5621.347706	10595.7612	-3361.919527	-24460.8295	2325.159719	-15291.95143	-21504.59358	21438.00495	7910.046638	3245.071749
