COMPASS_1_1.A1ModJulian,COMPASS_4_3.Hellas_Planitia_GS.X,COMPASS_4_3.Hellas_Planitia_GS.Y,COMPASS_4_3.Hellas_Planitia_GS.Z,COMPASS_4_3.Valles_Marineris_GS.X,COMPASS_4_3.Valles_Marineris_GS.Y,COMPASS_4_3.Valles_Marineris_GS.Z,COMPASS_4_3.Schiaparelli_Crater_GS.X,COMPASS_4_3.Schiaparelli_Crater_GS.Y,COMPASS_4_3.Schiaparelli_Crater_GS.Z,COMPASS_4_3.Mawrth_Vallis_GS.X,COMPASS_4_3.Mawrth_Vallis_GS.Y,COMPASS_4_3.Mawrth_Vallis_GS.Z,COMPASS_4_3.Arcadia_Planitia_GS.X,COMPASS_4_3.Arcadia_Planitia_GS.Y,COMPASS_4_3.Arcadia_Planitia_GS.Z
30988.50043,-1891.605392,-2958.7195,20157.47678,15984.63674,17268.69063,-7117.217379,13937.61043,13254.26649,10651.18125,14572.42732,18561.6801,-6536.127998,2286.506711,-15815.47528,-21053.87099
30988.50112,-1855.197851,-2963.149941,20159.84929,16008.21198,17251.68905,-7094.724694,13966.39263,13233.10502,10642.54736,14599.99277,18538.65828,-6543.932385,2309.478795,-15792.66062,-21071.26471
30988.503,-1757.923052,-2974.226091,20166.00316,16071.21751,17205.74008,-7035.210542,14043.20138,13176.90509,10618.77932,14673.21505,18477.01917,-6565.427853,2371.326081,-15731.88659,-21117.1381
30988.50839,-1485.557916,-2999.127875,20181.84071,16247.8324,17072.93916,-6873.269843,14257.58181,13022.33173,10546.65579,14874.8566,18303.46744,-6630.805047,2548.289029,-15563.25241,-21240.83257
30988.52289,-811.8824208,-3017.490443,20212.92453,16687.43903,16716.22988,-6506.327675,14784.18166,12660.7458,10329.65286,15350.80618,17868.66917,-6829.713373,3013.251379,-15158.16006,-21514.42398
30988.5432,-26.94204058,-2938.314645,20237.57204,17211.54793,16239.40598,-6158.539612,15394.01973,12291.98398,9990.359538,15856.83871,17354.51376,-7149.999189,3620.155032,-14718.97608,-21763.00617
30988.5643,571.9430308,-2755.485691,20253.24275,17634.16974,15807.88713,-5992.655258,15861.96021,12081.07545,9631.354492,16190.66761,16961.0818,-7505.111681,4165.127014,-14431.18915,-21874.89693
30988.5855,935.1127143,-2506.847728,20269.66911,17923.93236,15476.47335,-6006.271751,16155.58201,12038.6468,9305.825801,16340.79419,16728.88127,-7847.934963,4590.300856,-14316.91853,-21862.55552
30988.6067,1050.508464,-2235.067326,20292.15878,18068.57364,15278.28151,-6172.059099,16267.65963,12149.2508,9055.043196,16320.01495,16669.59428,-8137.31331,4859.722352,-14370.00335,-21751.73761
30988.6279,917.123285,-1983.680681,20319.95234,18057.96358,15236.81012,-6454.77253,16195.25947,12387.27665,8914.113266,16145.07758,16782.93693,-8333.041935,4943.105884,-14572.99036,-21568.42696
30988.6491,542.4476942,-1794.943201,20346.16713,17882.91106,15366.21189,-6814.359298,15937.86414,12719.58634,8911.153671,15834.05983,17058.37254,-8397.026582,4815.491654,-14899.55085,-21336.55695
30988.67031,-58.12740024,-1707.594175,20358.19123,17535.54738,15670.67861,-7208.190948,15497.26829,13107.39544,9065.893055,15405.29787,17475.82743,-8295.245123,4458.433124,-15316.01838,-21076.69375
30988.69151,-862.0688847,-1754.746944,20338.44883,17009.86391,16144.21553,-7593.359394,14877.59273,13508.38798,9388.603821,14876.48979,18006.78744,-7999.646486,3861.076262,-15783.2252,-20804.99977
30988.71271,-1840.770726,-1962.074423,20265.49136,16302.2411,16770.95445,-7928.967885,14085.2673,13879.02043,9879.538404,14263.91578,18615.84199,-7489.773552,3020.900385,-16258.63183,-20532.49692
30988.73392,-2960.984349,-2346.428975,20115.34034,15411.85329,17526.06276,-8178.313614,13128.89087,14176.91612,10528.96477,13581.75258,19262.65418,-6753.94771,1943.974066,-16698.67459,-20264.64549
30988.75512,-4186.158783,-2914.850578,19863.05202,14341.21736,18376.9467,-8310.752851,12019.29012,14363.11216,11317.58516,12841.74557,19904.02855,-5790.187657,645.0648509,-17061.04937,-20001.35045
30988.77632,-5478.420475,-3664.29003,19484.30584,13096.21418,19285.21999,-8303.326895,10769.08515,14404.24885,12217.7761,12052.76318,20496.42416,-4606.286188,-853.1743619,-17307.12038,-19737.19754
30988.79753,-6799.896124,-4581.586727,18957.13411,11686.57371,20208.52035,-8141.860671,9392.832461,14274.33226,13194.8592,11220.98165,20998.12259,-3219.895437,-2520.698804,-17403.91271,-19462.18002
30988.81873,-8114.66063,-5644.32071,18263.41239,10125.61072,21103.00564,-7821.626902,7906.506629,13956.1813,14209.19373,10349.8635,21371.63673,-1657.557636,-4321.649075,-17325.9798,-19162.57422
30988.83993,-9390.039808,-6821.887201,17390.3227,8430.296531,21925.58323,-7347.478839,6327.44095,13442.37375,15218.2001,9440.640754,21585.6593,46.27593194,-6215.635068,-17056.76201,-18822.16369
30988.86114,-10597.96978,-8077.173321,16331.48375,6620.920574,22636.28913,-6733.448097,4673.983288,12735.67033,16178.73434,8492.800682,21616.79971,1850.883216,-8159.545863,-16589.5137,-18423.58145
30988.88234,-11715.98402,-9368.527208,15087.80146,4720.713121,23200.4379,-6001.844277,2965.236924,11848.89655,17049.43204,7504.76598,21450.86011,3711.137991,-10109.36434,-15927.69312,-17949.76946
