COMPASS_1_1.A1ModJulian	COMPASS_5_1.Hellas_Planitia_GS.X	COMPASS_5_1.Hellas_Planitia_GS.Y	COMPASS_5_1.Hellas_Planitia_GS.Z	COMPASS_5_1.Valles_Marineris_GS.X	COMPASS_5_1.Valles_Marineris_GS.Y	COMPASS_5_1.Valles_Marineris_GS.Z	COMPASS_5_1.Schiaparelli_Crater_GS.X	COMPASS_5_1.Schiaparelli_Crater_GS.Y	COMPASS_5_1.Schiaparelli_Crater_GS.Z	COMPASS_5_1.Mawrth_Vallis_GS.X	COMPASS_5_1.Mawrth_Vallis_GS.Y	COMPASS_5_1.Mawrth_Vallis_GS.Z	COMPASS_5_1.Arcadia_Planitia_GS.X	COMPASS_5_1.Arcadia_Planitia_GS.Y	COMPASS_5_1.Arcadia_Planitia_GS.Z
30988.50043	15827.79338	-5023.442523	-20489.77299	-4065.851664	-16935.64388	12844.75904	460.7024278	-21753.46916	-13082.13885	1954.050301	-23326.99509	984.1473006	3517.132739	23328.08201	-156.3455438
30988.50112	15792.32052	-4980.040108	-20535.17835	-4113.32322	-16966.75985	12800.23952	405.8262206	-21735.29456	-13125.29004	1884.330091	-23335.82917	967.8749099	3510.82517	23319.02458	-85.05797874
30988.503	15695.93725	-4862.776049	-20656.83941	-4241.154265	-17049.88936	12679.44748	257.8208772	-21685.29206	-13241.20456	1696.229811	-23358.58344	923.8006988	3493.647551	23293.53443	107.0284341
30988.50839	15412.74511	-4523.786351	-21000.44326	-4607.427044	-17282.57466	12326.06779	-168.1468051	-21533.4457	-13570.85532	1154.457418	-23415.31868	795.5852791	3442.744906	23211.57225	658.2693328
30988.52289	14608.9596	-3605.254877	-21875.18162	-5580.121446	-17857.33647	11336.90002	-1312.755569	-21068.68198	-14424.55543	-302.8201248	-23502.97888	444.0226747	3292.879986	22929.03183	2125.460469
30988.5432	13386.77524	-2324.501398	-22972.46014	-6907.247938	-18524.87886	9877.03473	-2904.555036	-20292.54586	-15520.85439	-2326.256416	-23466.47931	-48.37715778	3042.484139	22389.83526	4121.620086
30988.5643	12014.45273	-1039.365181	-23947.37289	-8234.724345	-19033.03112	8307.038962	-4528.681423	-19359.06302	-16508.84342	-4375.476341	-23238.16771	-531.9788042	2719.626832	21673.39978	6088.28793
30988.5855	10554.11574	164.8116147	-24757.27799	-9509.154165	-19345.11719	6720.532399	-6113.639027	-18327.41883	-17322.59511	-6347.477674	-22829.73032	-959.7191412	2320.220727	20824.12192	7920.710925
30988.6067	9040.220551	1246.568688	-25404.45799	-10719.28588	-19460.00707	5170.274193	-7636.600881	-17242.33313	-17942.34922	-8203.673205	-22266.63	-1303.776023	1839.754536	19881.67384	9582.596244
30988.6279	7507.592525	2175.693979	-25901.186	-11858.86967	-19389.01119	3702.190554	-9080.598868	-16148.00292	-18362.19729	-9916.065329	-21581.80784	-1543.96973	1279.177947	18888.1281	11051.46722
30988.6491	5993.812765	2930.803765	-26265.07994	-12922.16042	-19153.07081	2357.614915	-10429.76622	-15088.08739	-18586.84206	-11461.77144	-20813.91638	-1667.558094	646.0448558	17887.29671	12313.06056
30988.67031	4538.187114	3500.005695	-26517.33487	-13903.09058	-18781.42933	1171.812206	-11668.92529	-14103.70419	-18630.93229	-12822.88433	-20005.31566	-1670.006043	-45.33467927	16922.63568	13360.86439
