COMPASS_1_1.A1ModJulian,COMPASS_2_1.Hellas_Planitia_GS.X,COMPASS_2_1.Hellas_Planitia_GS.Y,COMPASS_2_1.Hellas_Planitia_GS.Z,COMPASS_2_1.Valles_Marineris_GS.X,COMPASS_2_1.Valles_Marineris_GS.Y,COMPASS_2_1.Valles_Marineris_GS.Z,COMPASS_2_1.Schiaparelli_Crater_GS.X,COMPASS_2_1.Schiaparelli_Crater_GS.Y,COMPASS_2_1.Schiaparelli_Crater_GS.Z,COMPASS_2_1.Mawrth_Vallis_GS.X,COMPASS_2_1.Mawrth_Vallis_GS.Y,COMPASS_2_1.Mawrth_Vallis_GS.Z,COMPASS_2_1.Arcadia_Planitia_GS.X,COMPASS_2_1.Arcadia_Planitia_GS.Y,COMPASS_2_1.Arcadia_Planitia_GS.Z
30988.50043,-14766.63825,-9619.99764,12602.43434,892.1663847,23543.94289,-6879.917453,-974.0844834,11899.7651,17210.48339,4028.884143,21695.56533,5556.440974,-13002.40528,-16052.28692,-15273.65871
30988.50112,-14796.1752,-9660.584781,12550.56586,826.291599,23550.55347,-6851.16159,-1031.979035,11861.25367,17229.85288,3993.616985,21677.16491,5616.671687,-13062.84091,-16019.42172,-15251.80694
30988.503,-14875.15215,-9769.588411,12409.96232,648.6091374,23567.30102,-6773.463648,-1188.057829,11756.86191,17281.13912,3898.324361,21626.5544,5778.679095,-13225.21903,-15930.06501,-15192.33229
30988.50839,-15096.90962,-10079.38584,11999.57539,137.170346,23606.67764,-6548.857121,-1636.702893,11452.30562,17420.89361,3622.591627,21472.9676,6241.227257,-13687.4085,-15667.18681,-15016.70714
30988.52289,-15653.01803,-10879.99839,10856.03314,-1236.573085,23647.34161,-5941.320015,-2837.927823,10606.77951,17737.23233,2869.730191,21003.61239,7454.005577,-14889.87657,-14921.54607,-14510.72658
30988.5432,-16334.75314,-11903.05509,9172.88951,-3141.42234,23545.3927,-5101.358127,-4497.07646,9379.067664,18027.628,1788.96007,20221.36784,9055.382997,-16459.43335,-13801.7631,-13718.91988
30988.5643,-16929.17766,-12816.93819,7355.200299,-5070.983919,23251.48102,-4274.965394,-6174.805381,8088.288708,18135.48098,637.8519337,19282.10213,10567.08631,-17926.58274,-12581.42094,-12796.55631
30988.5855,-17421.57285,-13558.88151,5496.923206,-6932.310633,22781.62413,-3526.083539,-7795.837485,6819.105875,18048.55272,-541.1439864,18245.38241,11901.74263,-19216.16686,-11339.81135,-11776.01473
30988.6067,-17824.84274,-14110.00544,3647.001077,-8692.641982,22163.36992,-2887.670397,-9336.970185,5618.733322,17779.12406,-1733.950426,17156.07544,13032.75952,-20312.71498,-10125.44345,-10675.34725
30988.6279,-18156.36208,-14465.00319,1849.613874,-10328.38197,21431.17057,-2382.924888,-10782.01935,4525.997429,17349.83346,-2926.854606,16058.45966,13948.59163,-21214.18178,-8980.927795,-9516.049729
30988.6491,-18434.35294,-14629.13031,147.4920399,-11819.72287,20624.74123,-2026.541078,-12116.79826,3573.092014,16791.46809,-4103.2694,14996.22526,14647.97826,-21926.5932,-7944.16537,-8324.819686
30988.67031,-18676.1945,-14617.56893,-1419.257065,-13150.34683,19787.02385,-1824.073238,-13328.59324,2784.332486,16141.28727,-5243.597796,14010.47106,15139.16416,-22462.71916,-7046.765854,-7132.944344
30988.69151,-18897.01403,-14454.5664,-2814.827237,-14307.63723,18961.8785,-1771.525353,-14406.17377,2174.898367,15441.03199,-6325.691175,13137.5241,15439.13869,-22840.91095,-6312.392637,-5975.095414
30988.71271,-19108.45316,-14172.10619,-4009.242583,-15282.7909,18191.71591,-1855.44909,-15339.81863,1750.036409,14734.6908,-7325.524115,12406.9919,15572.46194,-23083.70924,-5755.505593,-4887.876897
30988.73392,-19317.68578,-13808.13188,-4979.69253,-16070.84914,17515.15426,-2053.583496,-16121.38654,1504.78051,14066.0879,-8218.09982,11840.13239,15569.7078,-23216.27946,-5380.570924,-3908.143353
30988.75512,-19526.67321,-13404.54283,-5711.259393,-16670.3713,16965.06521,-2335.939928,-16744.15693,1424.296352,13476.65657,-8978.229771,11448.83293,15465.60622,-23264.71278,-5181.918545,-3071.518352
30988.77632,-19731.84982,-13004.81462,-6197.703286,-17083.34315,16566.62937,-2666.410612,-17203.01797,1484.649518,13003.04092,-9581.790161,11234.84312,15296.9914,-23254.38797,-5143.97981,-2410.487498
30988.79753,-19924.04183,-12651.75267,-6441.359228,-17314.58778,16336.14647,-3004.585542,-17494.25127,1654.148715,12675.30335,-10006.52696,11189.81635,15100.70088,-23208.37291,-5242.212713,-1953.112772
30988.81873,-20088.85944,-12385.06934,-6452.99875,-17371.40877,16280.0439,-3307.973407,-17615.64267,1895.073578,12515.17946,-10233.22694,11295.70051,14911.44976,-23146.02886,-5444.416216,-1721.493939
30988.83993,-20207.34966,-12239.28076,-6251.076419,-17262.99712,16394.58694,-3534.233601,-17566.39687,2165.720901,12534.97209,-10246.54851,11525.75411,14759.90853,-23081.86493,-5712.490646,-1730.765411
30988.86114,-20256.99958,-12241.80097,-5860.708969,-16999.89541,16666.06147,-3643.491465,-17347.14764,2422.684746,12736.85713,-10035.8389,11845.99497,14670.99585,-23024.7064,-6004.515829,-1988.277365
30988.88234,-20212.98259,-12411.44222,-5312.326869,-16593.44949,17071.51666,-3600.521936,-16959.95097,2623.223874,13112.75788,-9595.742549,12217.05029,14662.52679,-22977.22823,-6277.036274,-2493.17043
30988.90354,-20049.59588,-12757.37751,-4640.085386,-16055.29275,17580.01462,-3376.709076,-16408.28177,2727.603399,13644.77391,-8926.597565,12596.30897,14744.27575,-22935.8766,-6487.440156,-3236.336157
30988.92475,-19741.76783,-13278.68759,-3880.054006,-15396.82652,18154.37123,-2951.612948,-15696.96002,2701.260897,14306.20981,-8034.500658,12940.27843,14917.53317,-22891.18084,-6596.294784,-4200.868672
30988.94595,-19266.67053,-13964.30215,-3068.598924,-14628.99262,18753.04952,-2314.228041,-14832.29802,2516.682968,15062.87006,-6931.400338,13206.86748,15175.10661,-22828.4511,-6569.458649,-5362.58676
