COMPASS_1_1.A1ModJulian,COMPASS_5_2.Hellas_Planitia_GS.X,COMPASS_5_2.Hellas_Planitia_GS.Y,COMPASS_5_2.Hellas_Planitia_GS.Z,COMPASS_5_2.Valles_Marineris_GS.X,COMPASS_5_2.Valles_Marineris_GS.Y,COMPASS_5_2.Valles_Marineris_GS.Z,COMPASS_5_2.Schiaparelli_Crater_GS.X,COMPASS_5_2.Schiaparelli_Crater_GS.Y,COMPASS_5_2.Schiaparelli_Crater_GS.Z,COMPASS_5_2.Mawrth_Vallis_GS.X,COMPASS_5_2.Mawrth_Vallis_GS.Y,COMPASS_5_2.Mawrth_Vallis_GS.Z,COMPASS_5_2.Arcadia_Planitia_GS.X,COMPASS_5_2.Arcadia_Planitia_GS.Y,COMPASS_5_2.Arcadia_Planitia_GS.Z
30988.50043,-20674.83636,-11749.33306,-2489.844791,-14615.72453,18727.73707,-5001.821508,-15425.9072,4939.331589,14061.68216,-8420.399705,14608.75582,13431.09819,-22176.26113,-8726.92989,-3898.366323
30988.50112,-20662.10804,-11769.5146,-2461.587949,-14590.60764,18748.78544,-4984.67912,-15398.52626,4937.176285,14086.44892,-8386.048371,14620.66488,13437.87416,-22174.24422,-8729.85652,-3935.178286
30988.503,-20626.92207,-11824.84137,-2385.098219,-14522.3047,18805.71771,-4937.316613,-15323.88427,4930.530045,14153.78527,-8292.287615,14652.39904,13456.6264,-22168.74489,-8737.043453,-4035.517151
30988.50839,-20518.5452,-11991.31655,-2162.839878,-14321.18146,18970.70157,-4791.75537,-15102.59821,4904.482772,14351.80629,-8013.407295,14740.38954,13514.43421,-22152.34178,-8751.809853,-4332.790084
30988.52289,-20172.27736,-12490.79152,-1553.044309,-13747.64258,19418.29692,-4331.387205,-14460.30771,4780.975755,14911.66005,-7198.091638,14948.18187,13696.94456,-22102.06833,-8744.685564,-5192.23707
30988.5432,-19544.12561,-13306.10412,-687.1467322,-12869.92571,20032.71282,-3518.248795,-13449.68275,4468.178711,15742.25204,-5905.80766,15149.58477,14010.83444,-22007.1263,-8606.983302,-6526.820138
30988.5643,-18703.00259,-14271.51417,198.4472286,-11875.38125,20617.99988,-2473.212176,-12271.64832,3961.699019,16625.14183,-4397.624982,15219.41874,14390.68887,-21860.2754,-8289.61844,-8043.888205
30988.5855,-17656.14688,-15328.87362,1045.735928,-10800.36238,21111.15065,-1235.088285,-10967.55284,3265.4868,17489.108,-2738.33624,15120.5705,14801.54642,-21641.1872,-7781.596338,-9664.298009
30988.6067,-16404.09197,-16435.06296,1828.07141,-9656.466055,21472.80418,166.3584962,-9553.660679,2389.515317,18287.18574,-962.5895113,14834.24755,15211.53164,-21327.49615,-7082.750759,-11342.5584
30988.6279,-14952.61261,-17546.5759,2528.180892,-8451.402521,21672.19785,1696.218189,-8043.999741,1352.411989,18978.37831,897.1448011,14352.10188,15587.47109,-20897.98612,-6202.624918,-13037.64137
30988.6491,-13314.74135,-18619.3727,3135.93897,-7191.903248,21686.86412,3313.726026,-6453.338043,181.3303035,19527.2391,2807.783993,13675.96529,15895.98741,-20334.43158,-5160.287242,-14710.60986
30988.67031,-11510.90962,-19610.89277,3648.118713,-5884.409452,21503.63859,4973.887888,-4797.531011,-1089.308951,19905.42951,4736.211297,12817.74354,16105.44526,-19623.11476,-3983.439669,-16325.63531
30988.69151,-9568.43516,-20482.31442,4068.046802,-4535.476319,21119.36714,6629.67688,-3093.449643,-2419.637506,20093.19256,6650.331758,11798.79383,16187.94784,-18756.07677,-2706.955631,-17851.33382
30988.71271,-7520.638181,-21200.63971,4404.90847,-3152.174171,20541.08956,8234.360549,-1358.852876,-3766.466943,20080.38669,8520.085879,10648.79481,16121.15518,-17732.07557,-1371.02277,-19261.88138
30988.73392,-5405.4736,-21740.50888,4672.745671,-1742.36401,19785.61089,9743.931341,387.9128568,-5085.703306,19866.98197,10318.484,9404.065353,15889.79089,-16557.0971,-18.88801444,-20537.91973
30988.75512,-3264.467307,-22085.45096,4889.114612,-315.3039867,18878.73301,11118.98796,2127.782997,-6334.463862,19463.05441,12021.99445,8105.844982,15486.82125,-15244.77944,1305.209684,-21666.767
30988.77632,-1140.492147,-22228.8935,5073.677662,1118.467268,17853.65163,12327.05167,3841.683365,-7473.726243,18888.13135,13611.56529,6797.74062,14914.07585,-13815.88058,2558.774366,-22642.84762
30988.79753,923.31076,-22174.40072,5246.548222,2546.505222,16749.4418,13343.69536,5510.244176,-8470.040664,18170.21873,15072.41192,5523.776913,14182.58441,-12298.08316,3702.931055,-23467.06399
30988.81873,2885.798564,-21935.53248,5426.740735,3954.731538,15608.7244,14153.97198,7114.491531,-9297.606836,17344.13737,16394.50609,4325.720752,13312.17405,-10724.68958,4704.818145,-24146.43183
30988.83993,4709.168882,-21535.08928,5630.617343,5327.253428,14475.53007,14752.84927,8635.864886,-9939.483676,16449.70069,17572.19427,3241.036759,12330.7919,-9133.547787,5539.159947,-24693.00413
30988.86114,6360.581886,-21003.88109,5870.537,6646.607886,13392.87238,15145.35996,10056.59657,-10388.55128,15529.50057,18603.93287,2300.805825,11273.25242,-7565.411923,6189.685009,-25122.74306
30988.88234,7813.397281,-20379.06156,6153.732992,7894.02736,12400.44942,15346.14171,11359.9685,-10647.86985,14626.59001,19491.7302,1528.076907,10179.64467,-6062.223385,6649.976372,-25454.14625
30988.90354,9048.164527,-19702.10427,6481.506349,9049.863411,11532.48993,15378.48414,12530.60472,-10730.5049,13782.11445,20240.47326,936.6216356,9093.4029,-4665.246558,6923.811881,-25706.78542
30988.92475,10053.31641,-19016.48495,6848.81246,10094.18248,10815.8548,15272.89187,13554.81068,-10658.78328,13032.99756,20857.18049,530.1817431,8059.093097,-3413.118743,7024.937423,-25899.83338
30988.94595,10825.14401,-18365.48264,7244.117077,11007.09258,10268.78088,15065.30372,14420.54435,-10463.0661,12410.11107,21349.99189,302.4011106,7120.455537,-2340.417215,6976.260759,-26050.59672
30988.96715,11367.9055,-17789.67596,7649.809728,11769.63666,9899.72928,14795.01246,15117.86641,-10180.08476,11936.40926,21727.46984,237.0788917,6317.976054,-1475.793376,6808.631106,-26173.2989
30988.98835,11693.1473,-17324.85333,8042.849849,12364.28551,9707.051445,14502.45335,15638.93479,-9850.951946,11625.79346,21997.68945,309.1245358,5687.013595,-840.8803705,6559.140013,-26278.00089
30989.00955,11818.89861,-17000.03203,8395.838776,12775.65102,9679.049703,14226.92157,15978.17992,-9518.915308,11482.30874,22167.55439,485.91021,5255.949588,-449.260278,6269.101555,-26369.84232
30989.03075,11768.50838,-16835.88317,8678.363396,12991.09815,9794.629013,14004.37237,16132.37388,-9226.993958,11499.92498,22242.2099,729.0617194,5044.743334,-305.8899746,5981.791636,-26448.59605
30989.05195,11569.22977,-16843.62368,8858.561676,13001.27109,10024.48158,13865.42055,16100.6375,-9015.621003,11662.88994,22224.61747,996.5793302,5063.930214,-406.9653151,5740.06985,-26508.57651
30989.07315,11250.70159,-17024.42972,8904.763841,12800.50556,10332.65746,13833.69519,15884.39964,-8920.492824,11946.57549,22115.32218,1245.079109,5314.106284,-740.1911649,5584.097009,-26538.88613
30989.09435,10843.34605,-17369.33918,8787.269414,12387.1909,10678.52996,13924.52041,15487.36402,-8970.580757,12318.81187,21912.44967,1432.186294,5785.84738,-1285.407597,5549.106679,-26524.02906
30989.11555,10376.78054,-17859.73531,8480.034409,11763.95414,11019.00974,14144.0985,14915.40504,-9186.547018,12741.6435,21611.89551,1518.84765,6460.178224,-2015.620277,5663.480391,-26444.82568
30989.13675,9878.280502,-18468.41477,7962.167906,10937.61203,11310.92552,14489.2399,14176.35436,-9579.646659,13173.44838,21207.67017,1471.463729,7309.610579,-2898.435555,5947.218425,-26279.57252
30989.15795,9371.525462,-19161.02349,7219.241291,9919.082913,11513.32428,14947.58544,13279.86302,-10151.11285,13571.16326,20692.46736,1263.687866,8299.480626,-3897.591222,6410.86075,-26005.39885
30989.17915,8875.605759,-19897.8179,6244.429944,8723.267839,11589.69334,15498.27011,12237.33707,-10891.97653,13892.59779,20058.43581,877.9220968,9389.548648,-4974.565407,7054.813857,-25599.79987
30989.20035,8404.141672,-20635.99822,5038.960056,7368.360129,11509.99509,16113.26564,11061.47877,-11783.69705,14098.84524,19297.82874,306.2213034,10536.275,-6090.659687,7869.444892,-25042.07588
30989.22155,7965.008104,-21331.83934,3612.611115,5875.615874,11252.28072,16758.86796,9766.327853,-12798.97215,14156.33463,18404.00858,-449.1710745,11694.71029,-7208.509876,8835.43304,-24314.90168
30989.24275,7560.220343,-21943.16031,1983.455321,4268.579604,10803.92116,17397.71316,8366.909075,-13903.28824,14038.74168,17372.22356,-1375.960017,12820.85281,-8293.895836,9924.870113,-23405.62767
30989.26395,7186.246733,-22431.61373,177.2434489,2572.346212,10162.27789,17990.95049,6878.975473,-15056.80768,13728.43403,16200.37504,-2452.48362,13873.8069,-9317.216556,11102.79119,-22307.37406
30989.28515,6834.660251,-22764.73918,-1773.600636,812.787218,9334.810514,18500.48768,5318.758324,-16216.53415,13217.42012,14889.67039,-3648.912961,14817.72872,-10254.66317,12329.08339,-21019.82619
30989.30635,6493.151902,-22917.65183,-3830.870272,-983.8357107,8338.852536,18891.10558,3703.079139,-17338.39274,12507.92547,13445.43882,-4928.60966,15623.29692,-11088.86576,13560.39502,-19550.01453
30989.32755,6146.650968,-22874.49015,-5952.45535,-2791.887525,7200.584027,19132.64753,2048.900933,-18379.81207,11612.27525,11877.30426,-6250.279735,16269.20038,-11809.53959,14752.67797,-17912.2906
30989.34875,5778.692099,-22629.24204,-8094.077482,-4586.98644,5953.618315,19201.8004,373.1839645,-19301.98923,10552.25277,10199.35706,-7570.183394,16742.94427,-12413.50509,15863.536,-16128.10848
30989.36996,5372.881921,-22186.07176,-10211.02801,-6346.468297,4637.26165,19083.52084,-1307.166294,-20071.91608,9358.017874,8430.185154,-8844.40976,17041.17112,-12904.30184,16854.4352,-14225.53164
30989.39116,4914.322257,-21559.06831,-12260.17767,-8049.964307,3294.318686,18772.02417,-2975.540196,-20664.20103,8066.448403,6592.469495,-10031.31613,17169.54193,-13291.5072,17692.83657,-12238.17666
30989.41236,4391.077858,-20771.61683,-14201.35672,-9679.398656,1969.059693,18271.35169,-4615.402946,-21062.31957,6719.45456,4712.845873,-11093.53172,17142.08826,-13589.61851,18353.78117,-10204.38156
30989.43356,3795.294419,-19855.0122,-15999.46195,-11219.59723,704.5308249,17595.28995,-6210.785614,-21259.65631,5361.471959,2820.770049,-12000.25049,16980.17922,-13816.84161,18821.44054,-8165.271767
30989.45476,3124.262013,-18846.87042,-17625.50842,-12658.09253,-459.5596004,16766.86602,-7746.115414,-21259.77242,4037.30285,947.9197513,-12728.71024,16711.03317,-13993.5281,19089.8427,-6163.421721
