COMPASS_1_1.A1ModJulian	COMPASS_4_2.Hellas_Planitia_GS.X	COMPASS_4_2.Hellas_Planitia_GS.Y	COMPASS_4_2.Hellas_Planitia_GS.Z	COMPASS_4_2.Valles_Marineris_GS.X	COMPASS_4_2.Valles_Marineris_GS.Y	COMPASS_4_2.Valles_Marineris_GS.Z	COMPASS_4_2.Schiaparelli_Crater_GS.X	COMPASS_4_2.Schiaparelli_Crater_GS.Y	COMPASS_4_2.Schiaparelli_Crater_GS.Z	COMPASS_4_2.Mawrth_Vallis_GS.X	COMPASS_4_2.Mawrth_Vallis_GS.Y	COMPASS_4_2.Mawrth_Vallis_GS.Z	COMPASS_4_2.Arcadia_Planitia_GS.X	COMPASS_4_2.Arcadia_Planitia_GS.Y	COMPASS_4_2.Arcadia_Planitia_GS.Z
30988.50043	-6187.075574	-17630.20583	-18156.66476	-18613.32864	3890.565064	10929.4877	-15054.30148	-15753.51111	6213.287737	-6089.338947	-6784.513141	18610.22203	-19794.16121	13170.41138	-1716.355747
30988.50112	-6155.607654	-17647.97923	-18148.62602	-18591.29335	3887.069704	10959.03383	-15026.02357	-15776.48969	6219.852016	-6056.059105	-6800.147247	18614.55469	-19782.28856	13191.73572	-1744.195609
30988.503	-6069.477229	-17695.83305	-18127.10071	-18531.17835	3876.780663	11039.35879	-14948.90787	-15839.19821	6236.957184	-5965.592297	-6843.28212	18625.8204	-19749.37056	13250.10273	-1819.571164
30988.50839	-5811.332187	-17832.67824	-18066.43322	-18352.55859	3840.026115	11275.55806	-14720.05754	-16025.53746	6281.129875	-5699.546733	-6975.325261	18654.63673	-19647.18871	13424.96561	-2038.723754
30988.52289	-5042.114259	-18189.68965	-17913.00345	-17830.53413	3686.301876	11943.80456	-14054.15993	-16567.01054	6359.112836	-4944.653092	-7388.381651	18701.69066	-19314.97907	13943.90446	-2641.246187
30988.5432	-3788.273125	-18641.162	-17722.2684	-16997.65674	3328.879829	12939.23887	-13002.74276	-17407.73311	6353.438124	-3804.690334	-8104.015253	18675.64869	-18699.58093	14777.00639	-3501.217716
30988.5643	-2285.463526	-19015.0819	-17550.68126	-16008.13443	2775.347429	14007.9495	-11773.6093	-18350.42298	6185.325997	-2542.543507	-9002.0295	18507.56915	-17862.72867	15746.35938	-4388.758139
30988.5855	-596.2176459	-19257.60958	-17396.52368	-14888.60578	2033.653211	15072.22445	-10410.60485	-19327.99836	5835.038818	-1220.953472	-10038.19479	18167.13246	-16811.2701	16790.23077	-5249.515522
30988.6067	1242.03095	-19337.14419	-17246.5716	-13645.94395	1116.443929	16083.40593	-8931.981054	-20293.44944	5296.944799	130.3642238	-11177.08784	17633.43555	-15546.80858	17863.72832	-6059.891601
30988.6279	3191.259193	-19231.90942	-17083.2501	-12286.12145	44.67637655	16999.61337	-7353.950399	-21202.66849	4575.571815	1488.044273	-12379.78389	16893.52603	-14076.9515	18922.63588	-6805.192827
30988.6491	5210.617096	-18929.65316	-16886.6262	-10817.04692	-1152.496368	17784.73986	-5693.668405	-22014.22686	3685.255656	2832.217417	-13603.79743	15943.35995	-12417.14531	19923.24057	-7477.249247
30988.67031	7257.547028	-18428.18609	-16636.0206	-9249.194133	-2439.074451	18409.83907	-3969.472162	-22691.26122	2649.414775	4146.475524	-14805.0304	14788.38831	-10590.64464	20824.32804	-8074.016524
30988.69151	9289.475261	-17735.50721	-16311.6271	-7595.795338	-3774.115173	18854.48075	-2200.677341	-23203.43387	1499.27931	5418.043663	-15940.11072	13443.5929	-8627.804873	21589.3718	-8599.121897
30988.71271	11265.52268	-16869.39045	-15896.10147	-5872.889105	-5113.918537	19107.6689	-407.320011	-23528.56731	272.1929591	6637.762446	-16968.71631	11933.01692	-6564.990348	22188.49648	-9061.105687
