COMPASS_1_1.A1ModJulian,COMPASS_1_2.Hellas_Planitia_GS.X,COMPASS_1_2.Hellas_Planitia_GS.Y,COMPASS_1_2.Hellas_Planitia_GS.Z,COMPASS_1_2.Valles_Marineris_GS.X,COMPASS_1_2.Valles_Marineris_GS.Y,COMPASS_1_2.Valles_Marineris_GS.Z,COMPASS_1_2.Schiaparelli_Crater_GS.X,COMPASS_1_2.Schiaparelli_Crater_GS.Y,COMPASS_1_2.Schiaparelli_Crater_GS.Z,COMPASS_1_2.Mawrth_Vallis_GS.X,COMPASS_1_2.Mawrth_Vallis_GS.Y,COMPASS_1_2.Mawrth_Vallis_GS.Z,COMPASS_1_2.Arcadia_Planitia_GS.X,COMPASS_1_2.Arcadia_Planitia_GS.Y,COMPASS_1_2.Arcadia_Planitia_GS.Z
30988.50043,-21359.51822,10362.36194,-1759.584692,-9956.358239,7691.376443,-23614.13396,-14609.34049,18806.40043,-3171.040936,-17509.48614,15818.0789,-6714.749281,-7546.261532,-18565.88544,9483.979896
30988.50112,-21354.15158,10367.65408,-1723.413268,-9924.633152,7707.85401,-23623.47142,-14581.31285,18828.01244,-3160.431853,-17485.58843,15841.03648,-6731.090287,-7530.281013,-18588.98163,9459.972214
30988.503,-21339.57618,10381.29279,-1624.759878,-9838.308031,7753.25705,-23648.32068,-14504.94762,18886.52088,-3130.833528,-17420.1245,15903.68493,-6774.914867,-7487.275772,-18651.69122,9394.02523
30988.50839,-21296.73312,10415.20028,-1331.989339,-9583.727478,7891.762922,-23716.91148,-14278.88374,19056.50132,-3037.55112,-17223.42483,16089.82253,-6898.857859,-7364.373156,-18835.39804,9194.409138
30988.52289,-21173.46488,10463.46401,-481.9802309,-8855.586158,8321.494133,-23875.59745,-13625.32052,19520.98663,-2725.864662,-16632.46523,16630.52831,-7212.615629,-7042.215815,-19349.20446,8584.280021
30988.5432,-20973.99729,10411.16349,846.236457,-7739.724097,9057.687701,-24015.42995,-12603.83303,20167.6034,-2138.385057,-15651.9855,17469.57576,-7588.569244,-6620.288782,-20096.27842,7549.610841
30988.5643,-20719.64664,10188.77976,2365.13642,-6480.648887,9971.891274,-24028.3649,-11422.21012,20796.6506,-1345.117901,-14446.43836,18409.72553,-7878.362907,-6229.271831,-20868.69121,6256.672289
30988.5855,-20397.76344,9778.389277,3995.270666,-5134.103155,11017.30198,-23875.72857,-10123.86964,21343.54699,-373.2212209,-13049.43547,19383.89949,-8047.876452,-5891.473824,-21597.98789,4745.584709
30988.6067,-19990.03395,9175.004483,5689.630566,-3725.166618,12157.00707,-23533.46819,-8726.137082,21767.46456,752.7492952,-11475.95406,20345.10827,-8085.372739,-5608.746993,-22239.20345,3039.689004
30988.6279,-19478.23061,8383.692743,7405.004203,-2274.045497,13351.09126,-22986.62811,-7243.518867,22035.81012,2001.932043,-9742.799679,21249.30272,-7989.289882,-5375.303977,-22754.03416,1165.902103
30988.6491,-18846.25864,7419.368822,9099.784408,-799.0448032,14556.56329,-22229.79306,-5690.691626,22123.92572,3337.054634,-7871.248388,22055.1527,-7766.824813,-5179.810539,-23110.55309,-843.1438635
30988.67031,-18081.6386,6306.092346,10735.17028,683.2701237,15729.32628,-21267.56403,-4082.854576,22016.19788,4716.101407,-5886.999098,22725.92906,-7433.16467,-5006.606373,-23284.65479,-2949.848443
30988.69151,-17176.73669,5075.799627,12276.70641,2158.208089,16826.5168,-20114.51059,-2435.691885,21706.89462,6094.501873,-3819.515303,23231.45707,-7010.372194,-4837.051137,-23261.34175,-5113.065678
30988.71271,-16129.75006,3766.604804,13695.60832,3612.989624,17808.8025,-18794.59385,-765.3077976,21200.48711,7427.477175,-1701.159422,23549.7423,-6525.895583,-4651.041551,-23035.54122,-7289.730391
30988.73392,-14945.29358,2420.657175,14969.87359,5036.780223,18642.55735,-17339.96767,911.9800332,20511.36401,8672.498873,433.9876056,23668.16454,-6010.737849,-4428.601596,-22612.35146,-9436.750428
30988.75512,-13634.94693,1082.130677,16084.68071,6420.237938,19301.50215,-15789.7119,2579.413782,19663.18006,9791.295166,2550.835897,23584.12313,-5497.564561,-4151.526382,-22006.83819,-11512.33215
30988.77632,-12216.8782,-205.5080635,17032.97854,7755.632447,19768.32183,-14187.52523,4220.361035,18687.38552,10752.18973,4615.026793,23305.18833,-5018.489892,-3804.823401,-21243.09416,-13478.21447
30988.79753,-10715.83447,-1401.42657,17814.98698,9036.078987,20035.38613,-12580.03531,5817.919371,17621.78723,11531.41893,6593.420482,22848.71018,-4603.186821,-3378.126761,-20353.12039,-15300.5117
30988.81873,-9162.041734,-2469.930665,18437.90822,10255.49257,20105.28634,-11014.10165,7355.457734,16508.29573,12114.61378,8455.678819,22240.83605,-4276.863858,-2866.690125,-19374.93816,-16951.44957
30988.83993,-7590.338815,-3382.184551,18914.88823,11407.99135,19990.62047,-9534.72156,8816.518855,15390.81968,12497.38632,10174.90362,21515.14393,-4058.680054,-2272.192966,-18350.65931,-18410.00815
30988.86114,-6038.743071,-4117.82362,19263.869,12487.59381,19713.32783,-8182.697491,10185.08159,14312.84737,12685.57109,11728.54183,20710.81087,-3960.402778,-1603.104108,-17324.17328,-19662.62473
30988.88234,-4546.918644,-4666.024943,19506.1476,13487.86669,19303.49478,-6992.632459,11445.72461,13315.12161,12694.85729,13098.9503,19870.50499,-3985.509848,-874.6813194,-16338.79565,-20703.39123
30988.90354,-3154.472398,-5026.087298,19664.79809,14401.67734,18797.71347,-5991.205089,12583.84842,12433.42855,12549.89884,14273.78877,19038.06458,-4128.754364,-108.5523175,-15434.91541,-21533.91413
30988.92475,-1899.12607,-5207.454162,19763.03237,15221.0915,18237.03245,-5195.821189,13585.97187,11696.61145,12282.9017,15246.22822,18256.05346,-4376.258735,668.1521219,-14647.74899,-22162.83189
30988.94595,-815.3621222,-5229.12083,19822.56505,15937.10513,17664.85036,-4614.022248,14439.69856,11125.21025,11931.88991,16014.59318,17563.64679,-4706.025599,1423.751538,-14005.64002,-22604.78604
30988.96715,67.41153044,-5118.644506,19862.16123,16539.89556,17124.43375,-4243.00232,15134.18085,10730.18023,11538.56075,16582.27504,16994.32824,-5089.008482,2123.616656,-13528.34306,-22879.44697
30988.98835,725.9725422,-4910.610353,19896.34764,17018.85603,16656.65868,-4069.991112,15660.1673,10512.42569,11146.04228,16957.0408,16574.20387,-5490.500276,2731.671622,-13226.08668,-23010.06001
30989.00955,1144.385965,-4644.75172,19934.42325,17362.92155,16297.75719,-4072.99001,16010.25344,10462.7203,10796.51484,17150.37975,16320.54546,-5871.915822,3212.195085,-13098.98295,-23021.98468
30989.03075,1314.693729,-4363.774448,19979.80057,17560.94776,16077.34552,-4222.041615,16179.05117,10562.22402,10528.89871,17176.6593,16240.85929,-6192.807647,3531.612693,-13137.03457,-22941.13588
30989.05195,1237.20699,-4111.006823,20029.72525,17602.16359,16016.82047,-4480.935636,16163.31486,10783.54481,10376.72244,17052.17975,16332.50398,-6413.021711,3660.220918,-13320.71331,-22792.44094
30989.07315,920.4171748,-3928.090903,20075.37196,17476.66169,16128.22919,-4809.165753,15962.02627,11092.20763,10366.33916,16794.22582,16582.84294,-6494.800798,3573.707079,-13622.0113,-22598.44991
30989.09435,380.5810504,-3852.675283,20102.33817,17175.98559,16413.57295,-5164.145408,15576.49606,11448.53702,10515.44836,16420.14907,16969.91044,-6404.894922,3254.536338,-14005.96157,-22378.10934
30989.11555,-359.0913964,-3916.358933,20091.49269,16693.6855,16864.69272,-5503.506788,15010.38981,11809.81914,10832.13038,15946.50916,17463.60521,-6116.417423,2692.976998,-14432.54227,-22145.79797
30989.13675,-1269.657685,-4142.981198,20020.13043,16025.77952,17463.7645,-5787.400775,14269.63484,12132.66468,11314.45187,15388.27562,18027.38319,-5610.343415,1887.680395,-14858.90086,-21910.64499
30989.15795,-2317.773217,-4547.339159,19863.3643,15171.23772,18184.23382,-5980.55723,13362.38393,12375.31996,11950.56613,14758.27951,18620.19463,-4876.649587,845.9524564,-15241.6331,-21676.23919
30989.17915,-3467.11231,-5134.290909,19595.7294,14132.49083,18992.14098,-6054.123988,12299.03555,12499.92547,12719.25647,14066.89527,19198.63509,-3915.13223,-416.2477407,-15539.10534,-21440.69285
30989.20035,-4680.321663,-5898.592982,19192.78963,12915.45827,19848.14714,-5987.189287,11091.82689,12474.63408,13591.26716,13321.67096,19719.45271,-2735.392945,-1875.176018,-15713.81288,-21196.97044
30989.22155,-5920.411978,-6825.028333,18632.84678,11529.94412,20709.45821,-5767.78963,9754.905759,12275.31045,14530.71084,12527.51601,20141.74656,-1356.760194,-3499.950915,-15734.34093,-20933.66915
30989.24275,-7152.521518,-7889.27566,17898.46304,9989.508406,21532.24457,-5393.468644,8303.971394,11886.88588,15497.12255,11686.82978,20429.27352,192.6302311,-5254.006297,-15577.13206,-20635.99338
30989.26395,-8345.394609,-9059.246275,16977.78305,8311.268991,22274.02465,-4871.258088,6755.979973,11304.16208,16447.69323,10799.88756,20552.41009,1877.147955,-7096.708852,-15227.75335,-20286.9792
30989.28515,-9472.611744,-10296.8407,15865.56248,6515.550623,22895.95003,-4217.119422,5128.827803,10532.05706,17339.61402,9865.382093,20489.72614,3655.36709,-8985.156099,-14681.64259,-19868.86072
30989.30635,-10513.29791,-11559.74643,14564.13873,4625.807228,23364.77804,-3455.061325,3441.387504,9585.506567,18132.23609,8881.293942,20229.16151,5481.658121,-10875.65206,-13944.47492,-19364.60759
30989.32755,-11452.94321,-12803.92106,13083.64958,2667.766075,23654.8113,-2615.59275,1712.938722,8488.57671,18789.47397,7845.500842,19768.72032,7308.6443,-12725.90426,-13031.81748,-18759.3183
30989.34875,-12283.60415,-13985.94286,11441.99318,668.790038,23749.25118,-1733.898487,-37.10012675,7273.162307,19281.75511,6756.584629,19116.5561,9089.417216,-14496.76111,-11968.27903,-18041.57126
30989.36996,-13003.71536,-15065.27359,9664.471707,-1342.738071,23641.08515,-847.8102602,-1789.351691,5977.336181,19587.60912,5614.665028,18290.56111,10779.63894,-16153.69411,-10786.24047,-17204.63909
30989.39116,-13617.6507,-16006.50461,7782.845428,-3338.316366,23333.45661,4.470114377,-3524.857973,4643.221745,19694.87749,4422.026996,17317.35273,12339.71261,-17668.23505,-9524.04042,-16247.36867
30989.41236,-14134.79319,-16781.07569,5834.533665,-5289.699641,22839.56108,786.4457845,-5224.972197,3314.994881,19601.38708,3183.95013,16231.03921,13736.28128,-19018.67944,-8224.16703,-15175.01399
