COMPASS_1_1.A1ModJulian,COMPASS_1_1.Hellas_Planitia_GS.X,COMPASS_1_1.Hellas_Planitia_GS.Y,COMPASS_1_1.Hellas_Planitia_GS.Z,COMPASS_1_1.Valles_Marineris_GS.X,COMPASS_1_1.Valles_Marineris_GS.Y,COMPASS_1_1.Valles_Marineris_GS.Z,COMPASS_1_1.Schiaparelli_Crater_GS.X,COMPASS_1_1.Schiaparelli_Crater_GS.Y,COMPASS_1_1.Schiaparelli_Crater_GS.Z,COMPASS_1_1.Mawrth_Vallis_GS.X,COMPASS_1_1.Mawrth_Vallis_GS.Y,COMPASS_1_1.Mawrth_Vallis_GS.Z,COMPASS_1_1.Arcadia_Planitia_GS.X,COMPASS_1_1.Arcadia_Planitia_GS.Y,COMPASS_1_1.Arcadia_Planitia_GS.Z
30988.50043,1667.953721,-23693.58333,-5166.217049,-5158.271582,10692.452,17247.20384,-835.3436912,-15943.62784,14275.72277,9717.373987,-2639.708906,18178.72725,-15298.48285,11772.48363,-17370.50657
30988.50112,1656.17537,-23688.98788,-5237.244382,-5218.267133,10652.75378,17252.61818,-890.7356142,-15976.53468,14243.26348,9663.461932,-2683.805759,18197.53384,-15320.60646,11811.01741,-17313.66975
30988.503,1624.332385,-23675.51242,-5428.696595,-5379.819295,10545.21773,17266.27141,-1040.072393,-16064.53931,14154.92763,9517.632977,-2802.593002,18247.2633,-15379.57104,11914.386,-17159.7619
30988.50839,1531.960435,-23627.95256,-5978.651241,-5842.631426,10232.07656,17297.77009,-1469.386182,-16311.61485,13894.37441,9094.494719,-3143.118802,18382.3219,-15543.60082,12207.18471,-16711.8693
30988.52289,1276.241773,-23436.21554,-7446.105743,-7070.02486,9366.973994,17323.86117,-2619.388448,-16927.53732,13150.25605,7932.624032,-4044.864652,18686.44155,-15943.94742,12956.561,-15473.42851
30988.5432,892.7664823,-23017.82093,-9450.523391,-8735.75041,8120.809582,17213.27136,-4209.887577,-17657.67353,12020.20689,6258.506665,-5251.885131,18969.69066,-16408.94459,13895.75129,-13673.01281
30988.5643,451.9971342,-22415.56562,-11433.12226,-10383.01472,6822.178223,16917.02103,-5822.066014,-18234.90012,10773.05914,4484.20843,-6402.252842,19096.99848,-16784.51457,14710.49339,-11753.94275
30988.5855,-44.18885621,-21666.11375,-13286.11523,-11936.8325,5556.437835,16442.66554,-7385.043196,-18618.04905,9487.850674,2693.081107,-7418.466423,19071.8105,-17068.29304,15344.35308,-9815.089162
30988.6067,-599.9018241,-20806.09659,-14970.08334,-13377.53382,4370.029578,15809.41189,-8877.400768,-18803.15163,8213.958634,921.9531542,-8269.144364,18918.03198,-17278.44445,15783.08278,-7905.233764
30988.6279,-1215.179366,-19875.89566,-16459.60193,-14694.23919,3300.412952,15044.74654,-10284.00303,-18798.97577,6995.780276,-796.793988,-8935.978554,18665.5517,-17436.17665,16025.8782,-6067.116029
30988.6491,-1884.321394,-18918.68724,-17737.81349,-15879.53059,2377.958942,14183.36004,-11591.1386,-18624.15908,5873.880321,-2431.133555,-9410.871999,18347.37849,-17562.63443,16082.38189,-4341.242464
30988.67031,-2595.553847,-17978.33751,-18796.13795,-16928.59148,1624.805829,13265.54115,-12785.99588,-18305.97833,4883.306256,-3949.854128,-9695.934684,17997.54001,-17677.17407,15971.84827,-2764.910373
