COMPASS_1_1.A1ModJulian	COMPASS_3_1.Hellas_Planitia_GS.X	COMPASS_3_1.Hellas_Planitia_GS.Y	COMPASS_3_1.Hellas_Planitia_GS.Z	COMPASS_3_1.Valles_Marineris_GS.X	COMPASS_3_1.Valles_Marineris_GS.Y	COMPASS_3_1.Valles_Marineris_GS.Z	COMPASS_3_1.Schiaparelli_Crater_GS.X	COMPASS_3_1.Schiaparelli_Crater_GS.Y	COMPASS_3_1.Schiaparelli_Crater_GS.Z	COMPASS_3_1.Mawrth_Vallis_GS.X	COMPASS_3_1.Mawrth_Vallis_GS.Y	COMPASS_3_1.Mawrth_Vallis_GS.Z	COMPASS_3_1.Arcadia_Planitia_GS.X	COMPASS_3_1.Arcadia_Planitia_GS.Y	COMPASS_3_1.Arcadia_Planitia_GS.Z
30988.50043	-10763.93471	17748.09782	8260.509079	5723.963018	3858.504937	-26193.74342	236.2154802	23298.08714	-8333.596723	-7250.11943	16048.30569	-19439.14137	7232.264785	-21693.34255	3236.425526
30988.50112	-10828.14159	17718.39325	8246.1034	5666.97866	3902.318178	-26200.49555	177.2899347	23307.1933	-8292.887188	-7289.671561	16081.0493	-19388.38811	7163.967064	-21711.57194	3251.106097
30988.503	-11000.7892	17637.48192	8206.717192	5513.048227	4020.283785	-26217.66102	18.37577952	23330.68083	-8182.888356	-7396.00231	16168.60728	-19250.79274	6979.462774	-21759.73374	3290.39634
30988.50839	-11493.33141	17398.25475	8088.938558	5068.095712	4357.984469	-26258.58504	-438.8705804	23389.52088	-7864.827225	-7699.267295	16414.34555	-18849.11834	6446.127251	-21890.10793	3401.098908
30988.52289	-12783.15668	16711.1261	7738.2999	3858.600719	5248.784836	-26306.94861	-1666.359614	23482.77392	-7002.66888	-8494.752118	17026.30636	-17730.43593	4998.399715	-22178.68911	3683.142082
30988.5432	-14487.93121	15659.54901	7160.847441	2144.559222	6432.622861	-26228.77435	-3369.237647	23453.80178	-5800.633542	-9558.127872	17750.10018	-16090.04682	2960.781382	-22425.66832	4047.332608
30988.5643	-16108.86348	14491.50185	6452.749509	360.3070756	7550.137359	-25982.27097	-5099.430153	23232.707	-4596.179605	-10598.9996	18319.96459	-14333.63033	871.7012143	-22485.80533	4401.290069
30988.5855	-17563.05083	13282.52784	5634.268978	-1411.696591	8525.805065	-25589.50529	-6778.328212	22830.68092	-3471.072639	-11580.5474	18695.19253	-12561.07362	-1155.142884	-22351.68694	4747.851186
30988.6067	-18830.26475	12080.98936	4718.531757	-3139.019148	9330.182412	-25082.12537	-8380.218238	22272.97752	-2465.579835	-12500.99848	18872.13917	-10826.26522	-3069.836404	-22039.07757	5100.448145
30988.6279	-19903.73198	10930.60403	3723.610928	-4794.834466	9947.090274	-24496.21918	-9886.43586	21592.41127	-1609.003045	-13362.56389	18859.88389	-9176.07111	-4833.802316	-21573.54996	5470.980268
